//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 19:12
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904187
//Univ. of Washington ID: 9101
//MBARI ID: 9101SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5381	
//Temperature[°C]	Sbe41cp	5381	
//Salinity[pss]	Sbe41cp	5381	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1376	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	0058	
//pH25C[Total]	Durafet	0058	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1260	0.0000	0.0000
//pH	1	1.0000	-0.1436	1.4666
//pH	4	1.0000	-0.0912	-0.0965
//pH	34	1.0000	-0.1329	-0.0016
//pH	135	1.0000	-0.1302	0.0053
//pH	186	1.0000	-0.1232	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	1697.99	0	3.0276	0	34.4479	0	27.453	0	1677.387	0	182.93	0	56.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8132	8	7.5661	8	2312	0	2231	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	1599.76	0	3.1217	0	34.4281	0	27.428	0	1580.715	0	184.43	0	57.1	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8178	8	7.5679	8	2309	0	2228	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	1499.28	0	3.2272	0	34.4073	0	27.401	0	1481.783	0	187.33	0	58.1	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8234	8	7.5708	8	2306	0	2224	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	1399.29	0	3.3662	0	34.3885	0	27.373	0	1383.287	0	190.42	0	59.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8323	8	7.5771	8	2304	0	2220	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	1298.68	0	3.6416	0	34.3600	0	27.323	0	1284.134	0	194.83	0	61.1	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8430	8	7.5868	8	2302	0	2214	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	1199.19	0	4.0892	0	34.3282	0	27.252	0	1186.038	0	202.13	0	64.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8587	8	7.6036	8	2293	0	2200	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	1098.68	0	4.7669	0	34.3095	0	27.164	0	1086.890	0	208.62	0	67.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8747	8	7.6240	8	2288	0	2187	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	999.48	0	5.4089	0	34.3072	0	27.088	0	988.989	0	216.95	0	70.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8944	8	7.6475	8	2283	0	2174	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	950.57	0	5.7773	0	34.3089	0	27.045	0	940.702	0	222.95	0	73.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8660	8	7.6248	8	2280	0	2179	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	901.64	0	6.0848	0	34.3138	0	27.010	0	892.384	0	229.41	0	76.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8814	8	7.6415	8	2278	0	2171	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	851.59	0	6.3283	0	34.3227	0	26.986	0	842.949	0	234.96	0	78.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8932	8	7.6541	8	2277	0	2166	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	801.36	0	6.5817	0	34.3353	0	26.962	0	793.324	0	240.04	0	80.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9053	8	7.6670	8	2278	0	2161	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	751.32	0	6.8474	0	34.3523	0	26.939	0	743.875	0	245.30	0	82.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9177	8	7.6806	8	2277	0	2155	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	700.92	0	7.0678	0	34.3689	0	26.922	0	694.058	0	248.87	0	84.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9263	8	7.6900	8	2278	0	2152	8	 -1e10	1
5904187	1	C	04/18/2014	18:29	209.849	-44.977	0	651.50	0	7.2237	0	34.3795	0	26.908	0	645.198	0	250.76	0	85.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9320	8	7.6957	8	2278	0	2150	8	 -1e10	1
