//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 19:33
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904473
//Univ. of Washington ID: 9260
//MBARI ID: 9260SOOCN
//Missing Float profile(s) for station(s): 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 
//No position for station(s): 88 
//Missing Float data detected for adjusted station(s): 20 24 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 88 
//
//SPECIAL NOTICE:
//Comms on this float are bad (intermittent, unreliable).  Certain cycles beyond cycle 65 may lack position info and/or contain only partial profile data.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5583	
//Temperature[°C]	Sbe41cp	5583	
//Salinity[pss]	Sbe41cp	5583	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1759	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G2.C01.7430 Spec#075 APEX Ti Equitech probe20130905RR10.02 MBARI ARGO float#0201	
//Chl_a[mg/m^3]	FLBBAP2	3640	
//Chl_a_corr[mg/m^3]	FLBBAP2	3640	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3640	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3640	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0069	
//pH25C[Total]	Durafet	0069	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0276	0.0000	0.0000
//Nitrate	1	1.0000	2.3553	-135.3262
//Nitrate	3	1.0000	-2.4707	-5.3880
//Nitrate	17	1.0000	-4.1086	-1.7338
//Nitrate	37	1.0000	-5.2921	-0.5397
//Nitrate	66	1.0000	-5.8327	0.0000
//pH	1	1.0000	-0.1430	1.2622
//pH	3	1.0000	-0.1017	-0.0943
//pH	13	1.0000	-0.1112	-0.0415
//pH	25	1.0000	-0.1571	1.2611
//pH	27	1.0000	-0.1177	0.0082
//pH	47	1.0000	-0.1134	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	1498.59	0	2.3114	0	34.7403	0	27.747	0	1480.553	0	194.83	0	59.3	0	30.26	0	0.0146	0	0.0049	0	0.000316	1	-1E+10	1	1.08	1	7.8925	0	7.6196	0	2344	0	2239	0	486.2	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	1399.13	0	2.3347	0	34.7238	0	27.731	0	1382.616	0	187.61	0	57.1	0	30.96	0	0.0109	0	0.0037	0	0.000305	1	-1E+10	1	1.05	1	7.8875	0	7.6117	0	2343	0	2241	0	498.0	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	1299.73	0	2.4001	0	34.7086	0	27.713	0	1284.692	0	183.87	0	56.0	0	31.25	0	0.0037	0	0.0012	0	0.000316	1	-1E+10	1	1.08	1	7.8852	0	7.6069	0	2342	0	2242	0	506.7	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	1198.95	0	2.4603	0	34.6853	0	27.688	0	1185.361	0	179.85	0	54.9	0	31.88	0	0.0109	0	0.0037	0	0.000521	1	-1E+10	1	1.61	1	7.8785	0	7.5980	0	2341	0	2244	0	521.2	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	1099.05	0	2.4851	0	34.6548	0	27.661	0	1086.852	0	175.99	0	53.7	0	32.65	0	0.0037	0	0.0012	0	0.000339	1	-1E+10	1	1.14	1	7.8721	0	7.5888	0	2339	0	2246	0	535.6	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	999.15	0	2.5116	0	34.6235	0	27.633	0	988.296	0	173.33	0	52.9	0	33.26	0	0.0073	0	0.0024	0	0.000339	1	-1E+10	1	1.14	1	7.8663	0	7.5804	0	2337	0	2246	0	549.3	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	951.39	0	2.4742	0	34.5907	0	27.610	0	941.162	0	170.59	0	52.0	0	33.97	0	0.0073	0	0.0024	0	0.000374	1	-1E+10	1	1.22	1	7.8584	0	7.5710	0	2334	0	2248	0	562.7	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	901.35	0	2.4883	0	34.5699	0	27.592	0	891.766	0	170.25	0	52.0	0	34.20	0	0.0109	0	0.0037	0	0.000396	1	-1E+10	1	1.28	1	7.8553	0	7.5665	0	2334	0	2249	0	570.3	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	851.07	0	2.5074	0	34.5474	0	27.572	0	842.122	0	170.46	0	52.0	0	34.45	0	0.0109	0	0.0037	0	0.000408	1	-1E+10	1	1.31	1	7.8537	0	7.5636	0	2332	0	2248	0	575.5	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	801.37	0	2.5183	0	34.5320	0	27.558	0	793.039	0	171.19	0	52.3	0	34.55	0	0.0000	0	0.0000	0	0.000635	1	-1E+10	1	1.90	1	7.8548	0	7.5629	0	2330	0	2246	0	576.9	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	751.60	0	2.5940	0	34.5161	0	27.539	0	743.875	0	172.20	0	52.7	0	34.44	0	0.0073	0	0.0024	0	0.000408	1	-1E+10	1	1.31	1	7.8575	0	7.5645	0	2327	0	2243	0	576.1	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	701.44	0	2.6305	0	34.4931	0	27.517	0	694.314	0	174.13	0	53.3	0	34.52	0	0.0073	0	0.0024	0	0.000351	1	-1E+10	1	1.17	1	7.8593	0	7.5648	0	2325	0	2241	0	576.4	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	651.02	0	2.6195	0	34.4576	0	27.489	0	644.484	0	176.69	0	54.1	0	34.73	0	0.0073	0	0.0024	0	0.000340	1	-1E+10	1	1.14	1	7.8571	0	7.5608	0	2322	0	2240	0	582.3	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	601.50	0	2.6277	0	34.4174	0	27.456	0	595.532	0	181.21	0	55.4	0	34.87	0	0.0146	0	0.0049	0	0.000738	1	-1E+10	1	2.17	1	7.8588	0	7.5606	0	2318	0	2236	0	582.4	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	550.76	0	2.6483	0	34.3838	0	27.427	0	545.362	0	186.52	0	57.1	0	34.66	0	0.0073	0	0.0024	0	0.000420	1	-1E+10	1	1.34	1	7.8648	0	7.5645	0	2314	0	2231	0	576.2	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	501.27	0	2.6884	0	34.3464	0	27.394	0	496.416	0	193.45	0	59.2	0	34.43	0	0.0073	0	0.0024	0	0.000465	1	-1E+10	1	1.46	1	7.8731	0	7.5708	0	2310	0	2225	0	566.8	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	450.88	0	2.6946	0	34.3095	0	27.363	0	446.568	0	202.16	0	61.9	0	33.83	0	0.0037	0	0.0012	0	0.000454	1	-1E+10	1	1.43	1	7.8852	0	7.5800	0	2306	0	2217	0	552.4	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	401.68	0	2.6500	0	34.2565	0	27.325	0	397.886	0	216.05	0	66.0	0	33.22	0	0.0000	0	0.0000	0	0.000522	1	-1E+10	1	1.61	1	7.9002	0	7.5912	0	2301	0	2209	0	534.0	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	381.56	0	2.6619	0	34.2343	0	27.306	0	377.974	0	222.22	0	67.9	0	32.89	0	0.0000	0	0.0000	0	0.000466	1	-1E+10	1	1.46	1	7.9077	0	7.5975	0	2299	0	2204	0	524.8	0
5904473	1	C	01/28/2015	06:48	12.964	-49.013	0	360.68	0	2.7004	0	34.2149	0	27.287	0	357.308	0	228.16	0	69.8	0	32.59	0	0.0037	0	0.0012	0	0.000591	1	-1E+10	1	1.79	1	7.9164	0	7.6052	0	2296	0	2199	0	514.4	0
