//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 19:36
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904695
//Univ. of Washington ID: 9265
//MBARI ID: 9265SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 33 92 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 72 79 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5584	
//Temperature[°C]	Sbe41cp	5584	
//Salinity[pss]	Sbe41cp	5584	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1758	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0030 Spec#098670 Equitech Ti probe #20150209RR10.10  MBARI ARGO float#732  DF#117  CTD#5584	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	0117	
//pH25C[Total]	Durafet	0117	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0119	0.0000	0.0222
//Oxygen	30	1.0301	0.0000	0.0022
//Oxygen	147	1.0375	0.0000	0.0000
//Nitrate	1	1.0000	-1.2351	0.3717
//Nitrate	134	1.0000	0.3220	-1.4224
//Nitrate	147	1.0000	-0.3942	0.0000
//pH	1	1.0000	0.0181	0.0087
//pH	59	1.0000	0.0480	0.0410
//pH	83	1.0000	0.0723	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	1798.44	0	1.9490	0	34.7048	0	27.749	0	1774.139	0	185.88	0	56.0	0	32.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8523	0	7.5893	0	2349	0	2255	0	517.6	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	1698.88	0	2.0218	0	34.6999	0	27.738	0	1676.317	0	183.48	0	55.4	0	32.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8539	0	7.5880	0	2348	0	2255	0	521.5	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	1598.93	0	2.0876	0	34.6928	0	27.727	0	1578.066	0	181.39	0	54.9	0	32.34	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8522	0	7.5838	0	2346	0	2254	0	529.6	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	1498.90	0	2.1427	0	34.6835	0	27.715	0	1479.691	0	179.33	0	54.3	0	32.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8501	0	7.5790	0	2344	0	2254	0	538.4	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	1398.44	0	2.1926	0	34.6734	0	27.702	0	1380.847	0	177.60	0	53.8	0	32.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8473	0	7.5736	0	2336	0	2248	0	546.7	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	1296.40	0	2.2596	0	34.6540	0	27.680	0	1280.400	0	174.98	0	53.1	0	33.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8419	0	7.5658	0	2333	0	2248	0	560.3	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	1199.25	0	2.3071	0	34.6357	0	27.661	0	1184.722	0	172.84	0	52.5	0	33.57	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8374	0	7.5589	0	2327	0	2245	0	571.7	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	1099.11	0	2.3907	0	34.6025	0	27.627	0	1086.054	0	170.61	0	52.0	0	34.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8300	0	7.5498	0	2332	0	2253	0	590.8	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	999.13	0	2.4533	0	34.5668	0	27.593	0	987.497	0	169.28	0	51.6	0	34.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8267	0	7.5440	0	2330	0	2253	0	602.4	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	951.64	0	2.4799	0	34.5521	0	27.579	0	940.666	0	169.19	0	51.6	0	34.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8214	0	7.5379	0	2328	0	2254	0	613.2	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	900.84	0	2.4997	0	34.5324	0	27.561	0	890.560	0	169.21	0	51.6	0	34.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8176	0	7.5329	0	2325	0	2252	0	622.0	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	851.59	0	2.5343	0	34.5130	0	27.542	0	841.971	0	169.61	0	51.8	0	35.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8176	0	7.5316	0	2325	0	2253	0	625.8	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	801.46	0	2.5810	0	34.4868	0	27.517	0	792.503	0	170.73	0	52.2	0	35.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8179	0	7.5306	0	2324	0	2252	0	629.0	0
5904695	1	C	05/14/2016	13:05	190.049	-57.981	0	751.54	0	2.6087	0	34.4555	0	27.489	0	743.229	0	173.13	0	52.9	0	35.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8183	0	7.5296	0	2322	0	2251	0	631.6	0
