//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 19:42
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904655
//Univ. of Washington ID: 9274
//MBARI ID: 9274HAWAII
//No missing float profiles
//Missing Float position interpolated for station(s): 117 170 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 
//
//SPECIAL NOTICE:
//The oxygen sensor on this float has failed.  Because O2 is an input parameter for the empirical algorithms used in the QC of pH
//and NO3 sensors, data from these sensors have not yet been validated.  pH and NO3 data for this float are thus questionable at
//best, and have been marked bad until alternative QC methods are explored/implemented.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5585	
//Temperature[°C]	Sbe41cp	5585	
//Salinity[pss]	Sbe41cp	5585	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1760	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0007 Spec#79 Equitech Ti probe #20140616RR10.03 MBARI ARGO float#703  Durafet#90  CTD#5585	
//Chl_a[mg/m^3]	FLBBAP2	3644	
//Chl_a_corr[mg/m^3]	FLBBAP2	3644	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3644	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3644	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	90	
//pH25C[Total]	Durafet	90	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0530	0.0000	0.0000
//Nitrate	1	1.0000	-2.4972	36.0221
//Nitrate	8	1.0000	-2.0000	-7.5000
//Nitrate	36	1.0000	-4.7000	-1.2500
//Nitrate	105	1.0000	-6.0000	0.0000
//pH	1	1.0000	-0.0109	0.0000
//pH	2	1.0000	-0.0174	-1.0351
//pH	6	1.0000	0.0004	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	1294.34	0	3.3343	0	34.5405	0	27.496	0	1282.220	0	55.31	0	17.2	0	42.89	0	0.0216	0	0.0216	0	0.000239	1	-1E+10	1	0.88	1	7.6615	0	7.4204	0	2388	0	2353	0	887.4	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	1195.87	0	3.5720	0	34.5286	0	27.463	0	1184.949	0	48.30	0	15.1	0	43.15	0	0.0216	0	0.0216	0	0.000251	1	-1E+10	1	0.91	1	7.6497	0	7.4095	0	2382	0	2351	0	923.0	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	1096.24	0	3.7836	0	34.5088	0	27.426	0	1086.487	0	45.83	0	14.4	0	42.98	0	0.0216	0	0.0216	0	0.000251	1	-1E+10	1	0.91	1	7.6416	0	7.4014	0	2376	0	2348	0	950.9	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	996.79	0	4.0308	0	34.4857	0	27.382	0	988.156	0	41.79	0	13.2	0	42.88	0	0.0180	0	0.0180	0	0.000263	1	-1E+10	1	0.94	1	7.6416	0	7.4010	0	2369	0	2341	0	960.4	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	951.27	0	4.1049	0	34.4696	0	27.361	0	943.132	0	39.75	0	12.6	0	42.77	0	0.0216	0	0.0216	0	0.000274	1	-1E+10	1	0.97	1	7.6210	0	7.3822	0	2366	0	2345	0	1014.0	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	899.88	0	4.3137	0	34.4471	0	27.321	0	892.291	0	35.47	0	11.3	0	42.71	0	0.0216	0	0.0216	0	0.000286	1	-1E+10	1	1.00	1	7.6114	0	7.3745	0	2360	0	2341	0	1042.6	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	851.25	0	4.4528	0	34.4246	0	27.288	0	844.170	0	32.18	0	10.3	0	42.66	0	0.0216	0	0.0216	0	0.000286	1	-1E+10	1	1.00	1	7.5999	0	7.3644	0	2355	0	2340	0	1077.0	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	800.28	0	4.7245	0	34.3990	0	27.237	0	793.720	0	29.79	0	9.6	0	42.26	0	0.0216	0	0.0216	0	0.000320	1	-1E+10	1	1.09	1	7.5929	0	7.3598	0	2348	0	2334	0	1100.2	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	750.41	0	4.9010	0	34.3675	0	27.192	0	744.348	0	29.01	0	9.4	0	41.85	0	0.0216	0	0.0216	0	0.000298	1	-1E+10	1	1.03	1	7.5868	0	7.3548	0	2342	0	2330	0	1121.4	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	701.17	0	5.0652	0	34.3334	0	27.146	0	695.588	0	27.96	0	9.1	0	41.40	0	0.0216	0	0.0216	0	0.000310	1	-1E+10	1	1.06	1	7.5764	0	7.3458	0	2336	0	2327	0	1154.7	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	650.94	0	5.2180	0	34.2617	0	27.071	0	645.836	0	27.01	0	8.8	0	41.13	0	0.0216	0	0.0216	0	0.000310	1	-1E+10	1	1.06	1	7.5604	0	7.3319	0	2326	0	2322	0	1203.0	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	601.27	0	5.5412	0	34.1794	0	26.967	0	596.626	0	37.14	0	12.2	0	39.33	0	0.0180	0	0.0180	0	0.000322	1	-1E+10	1	1.09	1	7.5749	0	7.3469	0	2311	0	2302	0	1163.7	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	551.24	0	6.1402	0	34.1432	0	26.864	0	547.048	0	54.70	0	18.2	0	36.70	0	0.0216	0	0.0216	0	0.000379	1	-1E+10	1	1.24	1	7.6133	0	7.3867	0	2299	0	2277	0	1064.7	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	501.32	0	7.0529	0	34.0952	0	26.705	0	497.568	0	86.69	0	29.4	0	32.57	0	0.0180	0	0.0180	0	0.000325	1	-1E+10	1	1.10	1	7.6774	0	7.4539	0	2283	0	2240	0	914.9	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	451.24	0	8.0153	0	34.0631	0	26.543	0	447.916	0	123.72	0	42.8	0	27.22	0	0.0108	0	0.0108	0	0.000360	1	-1E+10	1	1.19	1	7.7640	0	7.5435	0	2271	0	2198	0	743.0	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	401.18	0	8.5450	0	34.0451	0	26.448	0	398.273	0	169.99	0	59.6	0	23.02	0	0.0072	0	0.0072	0	0.000372	1	-1E+10	1	1.22	1	7.8496	0	7.6282	0	2267	0	2164	0	603.3	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	380.84	0	9.1771	0	34.0808	0	26.377	0	378.099	0	181.94	0	64.7	0	20.65	0	0.0108	0	0.0108	0	0.000395	1	-1E+10	1	1.28	1	7.8851	0	7.6696	0	2264	0	2146	0	553.3	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	360.93	0	9.7900	0	34.1166	0	26.305	0	358.350	0	190.79	0	68.7	0	18.71	0	0.0036	0	0.0036	0	0.000373	1	-1E+10	1	1.22	1	7.9078	0	7.6991	0	2263	0	2133	0	524.0	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	351.54	0	9.9590	0	34.1241	0	26.282	0	349.035	0	193.77	0	70.1	0	18.07	0	0.0036	0	0.0036	0	0.000374	1	-1E+10	1	1.22	1	7.9151	0	7.7081	0	2262	0	2129	0	515.0	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	340.94	0	10.2829	0	34.1383	0	26.238	0	338.519	0	195.20	0	71.1	0	17.21	0	0.0072	0	0.0072	0	0.000374	1	-1E+10	1	1.23	1	7.9205	0	7.7176	0	2261	0	2125	0	508.7	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	331.33	0	10.5815	0	34.1500	0	26.195	0	328.985	0	197.42	0	72.4	0	16.15	0	0.0036	0	0.0036	0	0.000363	1	-1E+10	1	1.20	1	7.9292	0	7.7298	0	2261	0	2119	0	498.3	0
5904655	1	C	07/22/2015	16:18	202.072	22.809	0	321.18	0	10.7809	0	34.1438	0	26.155	0	318.914	0	201.45	0	74.1	0	15.68	0	0.0036	0	0.0036	0	0.000375	1	-1E+10	1	1.23	1	7.9331	0	7.7360	0	2259	0	2115	0	493.9	0
