//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 19:47
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904472
//Univ. of Washington ID: 9275
//MBARI ID: 9275SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 19 20 21 22 32 37 46 47 48 49 50 51 56 58 59 86 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5582	
//Temperature[°C]	Sbe41cp	5582	
//Salinity[pss]	Sbe41cp	5582	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1761	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A2.C01.6941 Spec#066 APEX Ti Equitech probe20140527RR10.02 MBARI ARGO float#0204 Rezero after new lamp	
//Chl_a[mg/m^3]	FLBBAP2	3643	
//Chl_a_corr[mg/m^3]	FLBBAP2	3643	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3643	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3643	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0048	
//pH25C[Total]	Durafet	0048	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0000	0.0000	0.0000
//Nitrate	1	1.0000	16.2714	-280.3851
//Nitrate	3	1.0000	7.5203	-4.4163
//Nitrate	22	1.0000	5.1740	-1.5501
//Nitrate	61	1.0000	3.6045	-0.3430
//Nitrate	151	1.0000	2.7205	0.0000
//pH	1	1.0000	-0.0833	1.9489
//pH	3	1.0000	-0.0105	0.0292
//pH	18	1.0000	0.0088	-0.0418
//pH	28	1.0000	-0.0288	0.3301
//pH	31	1.0000	-0.0261	0.0000
//pH	36	1.0000	-0.0006	-0.4188
//pH	39	1.0000	-0.0014	-0.8949
//pH	41	1.0000	-0.0013	-1.5316
//pH	43	1.0000	-0.0495	0.3053
//pH	52	1.0000	0.0111	0.0037
//pH	108	1.0000	0.0144	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	1797.97	0	0.1295	0	34.6729	0	27.840	0	1772.395	0	217.48	0	62.6	0	33.45	0	0.0036	0	0.0012	0	0.000150	1	-1E+10	1	0.64	1	7.8849	0	7.5932	0	2356	0	2260	0	473.0	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	1698.31	0	0.1631	0	34.6740	0	27.839	0	1674.545	0	211.77	0	61.0	0	33.70	0	0.0036	0	0.0012	0	0.000150	1	-1E+10	1	0.64	1	7.8814	0	7.5870	0	2356	0	2263	0	482.9	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	1598.68	0	0.2014	0	34.6759	0	27.838	0	1576.680	0	209.85	0	60.5	0	33.43	0	0.0036	0	0.0012	0	0.000150	1	-1E+10	1	0.64	1	7.8839	0	7.5860	0	2357	0	2264	0	485.8	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	1499.76	0	0.2438	0	34.6783	0	27.837	0	1479.467	0	207.91	0	60.0	0	33.49	0	0.0036	0	0.0012	0	0.000150	1	-1E+10	1	0.64	1	7.8860	0	7.5848	0	2357	0	2265	0	489.2	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	1399.34	0	0.2855	0	34.6801	0	27.836	0	1380.733	0	206.01	0	59.5	0	33.45	0	0.0072	0	0.0024	0	0.000161	1	-1E+10	1	0.67	1	7.8882	0	7.5836	0	2357	0	2265	0	492.4	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	1299.20	0	0.3301	0	34.6821	0	27.835	0	1282.229	0	204.44	0	59.1	0	33.29	0	0.0000	0	0.0000	0	0.000162	1	-1E+10	1	0.67	1	7.8909	0	7.5830	0	2357	0	2265	0	495.0	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	1199.20	0	0.3748	0	34.6842	0	27.834	0	1183.817	0	202.64	0	58.7	0	33.36	0	0.0036	0	0.0012	0	0.000151	1	-1E+10	1	0.65	1	7.8939	0	7.5826	0	2357	0	2265	0	497.3	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	1098.33	0	0.4245	0	34.6860	0	27.832	0	1084.501	0	201.57	0	58.4	0	33.25	0	0.0036	0	0.0012	0	0.000162	1	-1E+10	1	0.67	1	7.8975	0	7.5828	0	2357	0	2265	0	498.9	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	999.37	0	0.4667	0	34.6878	0	27.831	0	987.019	0	200.61	0	58.2	0	33.19	0	0.0036	0	0.0012	0	0.000173	1	-1E+10	1	0.70	1	7.9007	0	7.5826	0	2357	0	2265	0	500.8	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	949.64	0	0.4867	0	34.6895	0	27.831	0	938.015	0	200.03	0	58.1	0	33.10	0	0.0108	0	0.0036	0	0.000173	1	-1E+10	1	0.70	1	7.8759	0	7.5589	0	2357	0	2274	0	535.9	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	901.59	0	0.5084	0	34.6902	0	27.830	0	890.656	0	199.05	0	57.8	0	33.07	0	0.0036	0	0.0012	0	0.000151	1	-1E+10	1	0.65	1	7.8790	0	7.5601	0	2357	0	2273	0	534.9	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	851.36	0	0.5379	0	34.6910	0	27.829	0	841.136	0	198.59	0	57.7	0	32.99	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.8823	0	7.5616	0	2356	0	2273	0	533.8	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	801.64	0	0.5636	0	34.6916	0	27.828	0	792.107	0	198.29	0	57.7	0	32.67	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.8856	0	7.5631	0	2357	0	2272	0	532.5	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	751.67	0	0.5943	0	34.6933	0	27.827	0	742.820	0	197.92	0	57.6	0	32.89	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.8907	0	7.5662	0	2357	0	2271	0	529.1	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	701.44	0	0.6222	0	34.6941	0	27.826	0	693.265	0	197.46	0	57.5	0	32.62	0	0.0036	0	0.0012	0	0.000162	1	-1E+10	1	0.68	1	7.8931	0	7.5669	0	2356	0	2270	0	529.1	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	650.91	0	0.6531	0	34.6953	0	27.825	0	643.402	0	197.21	0	57.5	0	32.36	0	0.0036	0	0.0012	0	0.000173	1	-1E+10	1	0.70	1	7.8971	0	7.5691	0	2355	0	2269	0	526.8	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	600.95	0	0.6954	0	34.6969	0	27.823	0	594.089	0	196.97	0	57.5	0	32.46	0	0.0036	0	0.0012	0	0.000173	1	-1E+10	1	0.70	1	7.9005	0	7.5709	0	2355	0	2268	0	525.5	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	551.38	0	0.7302	0	34.6973	0	27.821	0	545.150	0	196.49	0	57.4	0	32.32	0	0.0072	0	0.0024	0	0.000217	1	-1E+10	1	0.82	1	7.9033	0	7.5720	0	2354	0	2266	0	524.7	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	500.99	0	0.7633	0	34.6981	0	27.820	0	495.389	0	195.81	0	57.3	0	32.16	0	0.0144	0	0.0048	0	0.000184	1	-1E+10	1	0.73	1	7.9041	0	7.5714	0	2354	0	2267	0	527.0	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	451.02	0	0.7894	0	34.6975	0	27.817	0	446.032	0	195.40	0	57.2	0	32.18	0	0.0000	0	0.0000	0	0.000184	1	-1E+10	1	0.73	1	7.9058	0	7.5713	0	2354	0	2266	0	527.9	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	400.93	0	0.8168	0	34.6965	0	27.815	0	396.544	0	194.98	0	57.1	0	32.12	0	0.0036	0	0.0012	0	0.000195	1	-1E+10	1	0.76	1	7.9064	0	7.5705	0	2353	0	2266	0	530.1	0
5904472	1	C	01/18/2015	21:34	358.238	-67.661	0	381.58	0	0.8340	0	34.6979	0	27.815	0	377.423	0	194.67	0	57.0	0	32.15	0	0.0036	0	0.0012	0	0.000184	1	-1E+10	1	0.73	1	7.9078	0	7.5712	0	2353	0	2266	0	529.6	0
