//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 19:53
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904474
//Univ. of Washington ID: 9313
//MBARI ID: 9313SOOCN
//Missing Float profile(s) for station(s): 165 166 169 170 171 
//Missing Float position interpolated for station(s): 75 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 164 167 168 172 
//Missing Float data detected for adjusted station(s): 10 20 28 72 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 167 168 172 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5599	
//Temperature[°C]	Sbe41cp	5599	
//Salinity[pss]	Sbe41cp	5599	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1687	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G2.C01.7459 Spec#074 APEX Ti Equitech probe20140527RR10.03 MBARI ARGO float#0205	
//Chl_a[mg/m^3]	FLBBAP2	3646	
//Chl_a_corr[mg/m^3]	FLBBAP2	3646	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3646	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3646	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0048	
//pH25C[Total]	Durafet	0048	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0317	0.0000	0.0058
//Oxygen	162	1.0549	0.0000	0.0000
//Nitrate	1	1.0000	1.7069	-38.8711
//Nitrate	3	1.0000	-1.2072	-5.9996
//Nitrate	21	1.0000	-2.7087	-0.5396
//Nitrate	134	1.0000	-3.7539	-0.9353
//Nitrate	163	1.0000	-4.5075	0.0000
//pH	1	1.0000	-0.1324	0.9197
//pH	4	1.0000	-0.1049	-0.0513
//pH	56	1.0000	-0.1370	0.0566
//pH	73	1.0000	-0.0954	0.0000
//pH	85	1.0000	-0.0863	-0.0710
//pH	95	1.0000	-0.1499	0.8766
//pH	98	1.0000	-0.0976	0.0422
//pH	102	1.0000	-0.0890	0.9600
//pH	104	1.0000	-0.1187	-0.4086
//pH	107	1.0000	-0.1490	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1999.26	0	2.5465	0	34.7574	0	27.744	0	1973.671	0	198.03	0	60.6	0	29.46	0	0.0144	0	0.0048	0	0.000271	1	-1E+10	1	0.96	1	7.8821	0	7.6319	0	2340	0	2230	0	469.1	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1899.44	0	2.5225	0	34.7256	0	27.720	0	1875.568	0	188.22	0	57.6	0	30.89	0	0.0144	0	0.0048	0	0.000282	1	-1E+10	1	0.99	1	7.8637	0	7.6112	0	2341	0	2239	0	497.3	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1799.41	0	2.6558	0	34.7161	0	27.701	0	1777.213	0	189.80	0	58.2	0	30.47	0	0.0144	0	0.0048	0	0.000261	1	-1E+10	1	0.93	1	7.8677	0	7.6129	0	2338	0	2235	0	497.9	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1698.98	0	2.6802	0	34.6918	0	27.678	0	1678.419	0	186.12	0	57.1	0	31.14	0	0.0072	0	0.0024	0	0.000261	1	-1E+10	1	0.93	1	7.8618	0	7.6043	0	2337	0	2238	0	511.1	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1599.14	0	2.7004	0	34.6568	0	27.648	0	1580.159	0	181.83	0	55.8	0	31.83	0	0.0108	0	0.0036	0	0.000315	1	-1E+10	1	1.07	1	7.8531	0	7.5931	0	2336	0	2241	0	528.4	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1499.14	0	2.7234	0	34.6168	0	27.613	0	1481.696	0	178.96	0	55.0	0	32.67	0	0.0144	0	0.0048	0	0.000283	1	-1E+10	1	0.99	1	7.8462	0	7.5836	0	2334	0	2243	0	543.6	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1399.75	0	2.7444	0	34.5850	0	27.585	0	1383.788	0	178.08	0	54.7	0	33.14	0	0.0144	0	0.0048	0	0.000294	1	-1E+10	1	1.02	1	7.8422	0	7.5766	0	2332	0	2244	0	555.1	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1299.56	0	2.7896	0	34.5341	0	27.540	0	1285.046	0	178.20	0	54.8	0	33.56	0	0.0144	0	0.0048	0	0.000294	1	-1E+10	1	1.02	1	7.8398	0	7.5714	0	2328	0	2242	0	564.2	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1199.10	0	2.8248	0	34.4817	0	27.494	0	1185.991	0	180.34	0	55.5	0	34.02	0	0.0108	0	0.0036	0	0.000305	1	-1E+10	1	1.05	1	7.8395	0	7.5680	0	2324	0	2239	0	570.2	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	1098.93	0	2.8731	0	34.4387	0	27.455	0	1087.175	0	184.77	0	56.9	0	34.17	0	0.0108	0	0.0036	0	0.000316	1	-1E+10	1	1.07	1	7.8445	0	7.5695	0	2319	0	2234	0	568.9	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	999.23	0	2.9332	0	34.3908	0	27.411	0	988.776	0	191.61	0	59.0	0	33.90	0	0.0108	0	0.0036	0	0.000294	1	-1E+10	1	1.02	1	7.8546	0	7.5758	0	2314	0	2227	0	560.3	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	950.96	0	2.9913	0	34.3537	0	27.376	0	941.119	0	197.57	0	60.9	0	33.65	0	0.0144	0	0.0048	0	0.000305	1	-1E+10	1	1.05	1	7.8533	0	7.5737	0	2310	0	2223	0	564.5	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	901.59	0	3.0727	0	34.3215	0	27.342	0	892.366	0	204.41	0	63.2	0	33.25	0	0.0072	0	0.0024	0	0.000338	1	-1E+10	1	1.13	1	7.8623	0	7.5812	0	2306	0	2217	0	554.4	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	851.15	0	3.1480	0	34.2945	0	27.314	0	842.543	0	211.20	0	65.4	0	32.74	0	0.0036	0	0.0012	0	0.000328	1	-1E+10	1	1.11	1	7.8734	0	7.5904	0	2302	0	2211	0	542.0	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	800.89	0	3.2126	0	34.2757	0	27.292	0	792.887	0	216.54	0	67.1	0	32.31	0	0.0036	0	0.0012	0	0.000328	1	-1E+10	1	1.11	1	7.8796	0	7.5952	0	2300	0	2207	0	536.3	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	751.56	0	3.3095	0	34.2528	0	27.265	0	744.138	0	222.15	0	69.0	0	31.85	0	0.0036	0	0.0012	0	0.000339	1	-1E+10	1	1.13	1	7.8910	0	7.6051	0	2297	0	2200	0	524.0	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	701.71	0	3.4496	0	34.2212	0	27.226	0	694.863	0	231.18	0	72.0	0	31.09	0	0.0144	0	0.0048	0	0.000307	1	-1E+10	1	1.05	1	7.9024	0	7.6157	0	2293	0	2193	0	511.6	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	651.43	0	3.6100	0	34.2066	0	27.199	0	645.151	0	237.35	0	74.2	0	30.37	0	0.0072	0	0.0024	0	0.000415	1	-1E+10	1	1.33	1	7.9122	0	7.6251	0	2291	0	2187	0	502.1	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	601.49	0	3.7805	0	34.1875	0	27.166	0	595.764	0	244.42	0	76.8	0	29.72	0	0.0072	0	0.0024	0	0.000394	1	-1E+10	1	1.28	1	7.9224	0	7.6351	0	2286	0	2179	0	491.7	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	551.62	0	3.9617	0	34.1712	0	27.135	0	546.434	0	250.15	0	78.9	0	28.89	0	0.0036	0	0.0012	0	0.000351	1	-1E+10	1	1.17	1	7.9299	0	7.6428	0	2284	0	2174	0	485.2	0
5904474	1	C	12/07/2014	23:32	7.197	-44.602	0	501.25	0	4.1158	0	34.1632	0	27.112	0	496.598	0	254.05	0	80.4	0	28.39	0	0.0072	0	0.0024	0	0.000373	1	-1E+10	1	1.22	1	7.9364	0	7.6492	0	2283	0	2170	0	480.1	0
