//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 19:58
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904688
//Univ. of Washington ID: 9600
//MBARI ID: 9600SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 50 145 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6734	
//Temperature[°C]	Sbe41cp	6734	
//Salinity[pss]	Sbe41cp	6734	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1912	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0004 Spec#78 Equitech Ti probe #20140616RR10.04  MBARI ARGO float#721  DF#104  CTD#6734	
//Chl_a[mg/m^3]	FLBBAP2	3811	
//Chl_a_corr[mg/m^3]	FLBBAP2	3811	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3811	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3811	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	104	
//pH25C[Total]	Durafet	104	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0825	0.0000	-0.0110
//Oxygen	143	1.0382	0.0000	0.0000
//Nitrate	1	1.0000	-3.3067	-1.3904
//Nitrate	60	1.0000	-5.4735	-0.4391
//Nitrate	100	1.0000	-6.0337	0.0741
//Nitrate	148	1.0000	-6.0290	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1898.84	0	2.6089	0	34.6555	0	27.657	0	1875.347	0	181.11	0	55.5	0	31.92	0	0.0108	0	0.0036	0	0.000432	1	-1E+10	1	1.38	1	7.8198	8	7.5729	8	2337	0	2250	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1799.73	0	2.6815	0	34.6218	0	27.623	0	1777.877	0	177.43	0	54.4	0	32.53	0	0.0144	0	0.0048	0	0.000303	1	-1E+10	1	1.04	1	7.8147	8	7.5657	8	2336	0	2251	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1699.15	0	2.7744	0	34.5794	0	27.580	0	1678.916	0	175.02	0	53.8	0	33.14	0	0.0144	0	0.0048	0	0.000304	1	-1E+10	1	1.04	1	7.8082	8	7.5575	8	2332	0	2250	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1599.60	0	2.8142	0	34.5243	0	27.532	0	1580.922	0	176.62	0	54.3	0	33.54	0	0.0108	0	0.0036	0	0.000281	1	-1E+10	1	0.98	1	7.8004	8	7.5475	8	2327	0	2249	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1499.83	0	2.9733	0	34.4807	0	27.483	0	1482.667	0	179.25	0	55.3	0	33.67	0	0.0072	0	0.0024	0	0.000421	1	-1E+10	1	1.35	1	7.8035	8	7.5488	8	2323	0	2245	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1399.45	0	3.2350	0	34.4411	0	27.427	0	1383.764	0	182.70	0	56.7	0	33.36	0	0.0072	0	0.0024	0	0.000305	1	-1E+10	1	1.05	1	7.8097	8	7.5543	8	2321	0	2241	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1298.69	0	3.3536	0	34.3713	0	27.359	0	1284.440	0	193.03	0	60.1	0	32.78	0	0.0108	0	0.0036	0	0.000305	1	-1E+10	1	1.05	1	7.8210	8	7.5624	8	2312	0	2230	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1199.05	0	3.7307	0	34.3299	0	27.289	0	1186.174	0	205.24	0	64.5	0	31.59	0	0.0072	0	0.0024	0	0.000341	1	-1E+10	1	1.14	1	7.8362	8	7.5777	8	2303	0	2216	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	1099.88	0	4.2740	0	34.3184	0	27.224	0	1088.326	0	210.80	0	67.1	0	30.36	0	0.0072	0	0.0024	0	0.000319	1	-1E+10	1	1.08	1	7.8519	8	7.5958	8	2298	0	2205	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	998.60	0	4.9274	0	34.3169	0	27.151	0	988.348	0	216.52	0	70.0	0	28.60	0	0.0072	0	0.0024	0	0.000332	1	-1E+10	1	1.12	1	7.8657	8	7.6138	8	2293	0	2193	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	951.30	0	5.4008	0	34.3353	0	27.111	0	941.640	0	216.24	0	70.7	0	27.62	0	0.0108	0	0.0036	0	0.000356	1	-1E+10	1	1.18	1	7.8632	8	7.6165	8	2291	0	2190	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	900.98	0	5.8914	0	34.3644	0	27.074	0	891.938	0	213.18	0	70.5	0	26.66	0	0.0036	0	0.0012	0	0.000345	1	-1E+10	1	1.15	1	7.8693	8	7.6271	8	2291	0	2186	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	851.17	0	6.6765	0	34.4344	0	27.028	0	842.728	0	206.18	0	69.5	0	25.39	0	0.0072	0	0.0024	0	0.000323	1	-1E+10	1	1.09	1	7.8756	8	7.6421	8	2291	0	2181	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	801.68	0	7.3645	0	34.4899	0	26.977	0	793.823	0	206.29	0	70.6	0	23.48	0	0.0036	0	0.0012	0	0.000347	1	-1E+10	1	1.16	1	7.8887	8	7.6622	8	2291	0	2172	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	750.29	0	8.0361	0	34.5392	0	26.919	0	743.028	0	210.91	0	73.3	0	21.36	0	0.0036	0	0.0012	0	0.000325	1	-1E+10	1	1.10	1	7.9079	8	7.6879	8	2290	0	2162	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	701.16	0	8.6901	0	34.6081	0	26.873	0	694.456	0	215.38	0	76.0	0	19.38	0	0.0036	0	0.0012	0	0.000360	1	-1E+10	1	1.19	1	7.9233	8	7.7101	8	2291	0	2154	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	651.53	0	9.0781	0	34.6427	0	26.838	0	645.377	0	224.56	0	80.0	0	17.70	0	0.0000	0	0.0000	0	0.000361	1	-1E+10	1	1.19	1	7.9395	8	7.7291	8	2292	0	2147	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	601.39	0	9.5667	0	34.7001	0	26.803	0	595.782	0	230.18	0	82.9	0	15.59	0	0.0000	0	0.0000	0	0.000361	1	-1E+10	1	1.19	1	7.9599	8	7.7539	8	2294	0	2138	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	551.23	0	9.8539	0	34.7349	0	26.781	0	546.156	0	241.02	0	87.3	0	14.28	0	0.0000	0	0.0000	0	0.000338	1	-1E+10	1	1.13	1	7.9697	8	7.7656	8	2296	0	2135	8	 -1e10	1
5904688	1	C	03/06/2016	01:30	95.019	-42.470	0	501.23	0	10.1630	0	34.7762	0	26.760	0	496.676	0	247.54	0	90.3	0	12.74	0	0.0072	0	0.0024	0	0.000339	1	-1E+10	1	1.13	1	7.9823	8	7.7804	8	2298	0	2130	8	 -1e10	1
