//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 20:04
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904684
//Univ. of Washington ID: 9602
//MBARI ID: 9602SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 51 53 61 77 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6733	
//Temperature[°C]	Sbe41cp	6733	
//Salinity[pss]	Sbe41cp	6733	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1907	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0010 Spec#098663 Equitech Ti probe #20150209RR10.04  MBARI ARGO float#727  DF#110  CTD#6733	
//Chl_a[mg/m^3]	FLBBAP2	3655	
//Chl_a_corr[mg/m^3]	FLBBAP2	3655	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3655	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3655	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	110	
//pH25C[Total]	Durafet	110	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0515	0.0000	-0.0034
//Oxygen	142	1.0372	0.0000	0.0000
//Nitrate	1	1.0000	-1.0641	-42.7273
//Nitrate	3	1.0000	-2.2652	-0.0333
//Nitrate	142	1.0000	-2.1745	0.0000
//pH	1	1.0000	-0.0817	0.9461
//pH	3	1.0000	-0.0527	0.0201
//pH	26	1.0000	-0.0456	0.0050
//pH	46	1.0000	-0.0270	0.0320
//pH	62	1.0000	-0.0060	-0.0606
//pH	71	1.0000	-0.0250	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	1599.59	0	1.4850	0	34.7381	0	27.808	0	1579.396	0	207.62	0	61.9	0	30.83	0	0.0036	0	0.0012	0	0.000234	1	-1E+10	1	0.86	1	7.8900	0	7.6094	0	2352	0	2251	0	482.4	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	1498.27	0	1.6031	0	34.7415	0	27.802	0	1479.709	0	199.03	0	59.5	0	30.57	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.8919	0	7.6090	0	2351	0	2249	0	485.8	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	1399.16	0	1.6655	0	34.7405	0	27.796	0	1382.151	0	197.07	0	59.0	0	30.64	0	0.0000	0	0.0000	0	0.000245	1	-1E+10	1	0.89	1	7.8914	0	7.6059	0	2351	0	2251	0	492.3	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	1299.27	0	1.7768	0	34.7420	0	27.788	0	1283.780	0	195.23	0	58.6	0	30.44	0	0.0000	0	0.0000	0	0.000245	1	-1E+10	1	0.89	1	7.8917	0	7.6040	0	2350	0	2250	0	497.8	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	1199.64	0	1.8817	0	34.7349	0	27.774	0	1185.618	0	191.95	0	57.8	0	30.76	0	0.0036	0	0.0012	0	0.000245	1	-1E+10	1	0.89	1	7.8878	0	7.5983	0	2348	0	2251	0	508.6	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	1099.06	0	1.9431	0	34.7301	0	27.765	0	1086.473	0	189.49	0	57.1	0	30.79	0	0.0036	0	0.0012	0	0.000278	1	-1E+10	1	0.98	1	7.8867	0	7.5945	0	2347	0	2252	0	516.0	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	999.37	0	1.9912	0	34.7232	0	27.755	0	988.160	0	187.62	0	56.6	0	30.96	0	0.0072	0	0.0024	0	0.000279	1	-1E+10	1	0.98	1	7.8844	0	7.5894	0	2347	0	2253	0	525.1	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	951.50	0	2.0366	0	34.7186	0	27.748	0	940.934	0	186.02	0	56.2	0	31.05	0	0.0036	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.8832	0	7.5871	0	2346	0	2253	0	529.7	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	901.67	0	2.0601	0	34.7132	0	27.741	0	891.764	0	185.01	0	55.9	0	31.14	0	0.0036	0	0.0012	0	0.000301	1	-1E+10	1	1.03	1	7.8812	0	7.5838	0	2346	0	2254	0	535.4	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	851.61	0	2.0870	0	34.7028	0	27.731	0	842.354	0	183.12	0	55.4	0	31.25	0	0.0036	0	0.0012	0	0.000301	1	-1E+10	1	1.04	1	7.8788	0	7.5802	0	2345	0	2255	0	541.7	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	801.10	0	2.0713	0	34.6843	0	27.717	0	792.489	0	181.76	0	54.9	0	31.84	0	0.0000	0	0.0000	0	0.000356	1	-1E+10	1	1.18	1	7.8720	0	7.5720	0	2344	0	2256	0	554.0	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	751.35	0	2.1350	0	34.6737	0	27.703	0	743.362	0	180.11	0	54.5	0	32.01	0	0.0036	0	0.0012	0	0.000312	1	-1E+10	1	1.06	1	7.8685	0	7.5680	0	2343	0	2257	0	561.9	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	700.64	0	2.0899	0	34.6488	0	27.686	0	693.276	0	179.00	0	54.1	0	32.52	0	0.0036	0	0.0012	0	0.000323	1	-1E+10	1	1.09	1	7.8608	0	7.5585	0	2341	0	2258	0	575.6	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	651.56	0	2.0562	0	34.6256	0	27.670	0	644.787	0	179.53	0	54.2	0	32.76	0	0.0036	0	0.0012	0	0.000323	1	-1E+10	1	1.09	1	7.8582	0	7.5539	0	2339	0	2258	0	582.1	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	600.99	0	2.1718	0	34.6232	0	27.659	0	594.815	0	176.75	0	53.5	0	32.68	0	0.0036	0	0.0012	0	0.000400	1	-1E+10	1	1.29	1	7.8565	0	7.5521	0	2338	0	2258	0	588.4	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	550.14	0	2.0497	0	34.5868	0	27.639	0	544.554	0	180.86	0	54.6	0	33.08	0	0.0072	0	0.0024	0	0.000334	1	-1E+10	1	1.12	1	7.8551	0	7.5474	0	2336	0	2258	0	592.9	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	500.75	0	2.1008	0	34.5557	0	27.610	0	495.725	0	181.12	0	54.7	0	33.43	0	0.0036	0	0.0012	0	0.000488	1	-1E+10	1	1.52	1	7.8538	0	7.5451	0	2333	0	2256	0	597.8	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	451.31	0	2.2081	0	34.5449	0	27.592	0	446.834	0	178.49	0	54.1	0	33.55	0	0.0036	0	0.0012	0	0.000422	1	-1E+10	1	1.35	1	7.8514	0	7.5426	0	2331	0	2255	0	604.8	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	401.05	0	1.8741	0	34.4525	0	27.545	0	397.120	0	194.99	0	58.5	0	33.56	0	0.0036	0	0.0012	0	0.000378	1	-1E+10	1	1.24	1	7.8620	0	7.5457	0	2325	0	2248	0	590.0	0
5904684	1	C	02/28/2016	21:58	87.670	-52.973	0	381.52	0	1.1913	0	34.3495	0	27.511	0	377.800	0	229.58	0	67.7	0	33.55	0	0.0000	0	0.0000	0	0.000607	1	-1E+10	1	1.83	1	7.8839	0	7.5551	0	2319	0	2239	0	556.8	0
