//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 20:09
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904674
//Univ. of Washington ID: 9630
//MBARI ID: 9630SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 
//
//SPECIAL NOTICE:
//Salinity for this float has been getting flagged as bad in real-time starting cycle 24 
//in the ARGO core files.  FloatVIZ data for associated parameters have also been marked bad
//on this basis.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6738	
//Temperature[°C]	Sbe41cp	6738	
//Salinity[pss]	Sbe41cp	6738	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1879	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0038 Spec#093157 Equitech Ti probe #20150209RR10.31  MBARI ARGO float#715  DF#99  CTD#6738	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	99	
//pH25C[Total]	Durafet	99	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0862	0.0000	0.0029
//Oxygen	145	1.0981	0.0000	0.0000
//Nitrate	1	1.0000	-2.5502	0.0000
//Nitrate	2	1.0000	-3.3601	-0.5778
//Nitrate	20	1.0000	-3.5710	0.0000
//pH	1	1.0000	0.0066	0.0000
//pH	2	1.0000	-0.1200	0.0000
//pH	3	1.0000	-0.1295	0.1078
//pH	15	1.0000	-0.1036	0.0834
//pH	23	1.0000	-0.0820	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1898.25	0	2.6491	0	34.5966	0	27.606	0	1875.196	0	157.85	0	48.4	0	35.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8265	0	7.5793	0	2365	0	2275	0	552.5	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1799.33	0	2.7959	0	34.5777	0	27.578	0	1777.891	0	159.80	0	49.1	0	34.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8270	0	7.5782	0	2358	0	2268	0	556.9	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1698.86	0	2.9539	0	34.5513	0	27.542	0	1679.015	0	162.63	0	50.2	0	34.42	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8298	0	7.5792	0	2350	0	2261	0	558.4	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1599.67	0	3.1552	0	34.5208	0	27.499	0	1581.354	0	166.68	0	51.7	0	34.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8319	0	7.5803	0	2341	0	2251	0	560.2	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1499.50	0	3.3771	0	34.4890	0	27.453	0	1482.681	0	171.34	0	53.4	0	33.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8378	0	7.5850	0	2330	0	2238	0	556.6	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1398.60	0	3.7792	0	34.4699	0	27.398	0	1383.243	0	175.83	0	55.3	0	32.72	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8497	0	7.5977	0	2317	0	2222	0	544.9	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1296.34	0	4.0963	0	34.4323	0	27.335	0	1282.417	0	182.67	0	57.9	0	31.95	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8569	0	7.6050	0	2309	0	2211	0	540.6	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1199.00	0	4.6754	0	34.4202	0	27.263	0	1186.397	0	188.13	0	60.5	0	30.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8708	0	7.6222	0	2301	0	2197	0	528.0	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	1099.32	0	5.1745	0	34.3955	0	27.187	0	1088.022	0	196.09	0	63.8	0	29.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8861	0	7.6396	0	2295	0	2185	0	514.0	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	998.54	0	5.7449	0	34.3746	0	27.102	0	988.516	0	206.79	0	68.1	0	27.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9022	0	7.6590	0	2287	0	2170	0	498.8	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	951.67	0	5.9733	0	34.3721	0	27.071	0	942.221	0	211.59	0	70.1	0	26.61	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9151	0	7.6725	0	2284	0	2162	0	485.3	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	900.98	0	6.1868	0	34.3730	0	27.044	0	892.143	0	215.68	0	71.8	0	25.90	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9232	0	7.6812	0	2285	0	2160	0	478.9	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	851.61	0	6.4293	0	34.3804	0	27.018	0	843.356	0	219.18	0	73.4	0	25.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9302	0	7.6894	0	2284	0	2156	0	473.3	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	800.97	0	6.6875	0	34.3897	0	26.991	0	793.303	0	223.26	0	75.2	0	24.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9384	0	7.6990	0	2283	0	2151	0	466.4	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	751.39	0	6.9165	0	34.4051	0	26.972	0	744.286	0	225.00	0	76.2	0	23.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9428	0	7.7047	0	2283	0	2149	0	464.2	0
5904674	1	C	05/31/2016	07:14	187.431	-39.964	0	701.00	0	7.1984	0	34.4313	0	26.953	0	694.456	0	225.02	0	76.7	0	22.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9447	0	7.7087	0	2283	0	2147	0	465.1	0
