//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 20:14
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904677
//Univ. of Washington ID: 9631
//MBARI ID: 9631SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6739	
//Temperature[°C]	Sbe41cp	6739	
//Salinity[pss]	Sbe41cp	6739	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1877	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0028 Spec#093158 Equitech Ti probe #20150209RR10.02  MBARI ARGO float#716  no DF yet  CTD#6739	
//Chl_a[mg/m^3]	FLBBAP2	3686	
//Chl_a_corr[mg/m^3]	FLBBAP2	3686	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3686	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3686	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	100	
//pH25C[Total]	Durafet	100	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0637	0.0000	0.0027
//Oxygen	139	1.0736	0.0000	0.0000
//Nitrate	1	1.0000	-2.2916	-0.6536
//Nitrate	78	1.0000	-5.3997	0.0000
//pH	1	1.0000	-0.0124	-0.0214
//pH	9	1.0000	-0.0130	-0.1535
//pH	26	1.0000	-0.0712	-0.1986
//pH	32	1.0000	-0.1242	-0.0397
//pH	53	1.0000	-0.1921	0.0613
//pH	78	1.0000	-0.1611	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	1699.02	0	2.3922	0	34.6682	0	27.684	0	1677.553	0	178.67	0	54.4	0	32.94	0	0.0072	0	0.0024	0	0.000290	1	-1E+10	1	1.01	1	7.8499	4	7.5896	4	2342	0	2248	4	526.7	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	1599.49	0	2.4579	0	34.6579	0	27.669	0	1579.651	0	176.42	0	53.8	0	33.09	0	0.0036	0	0.0012	0	0.000279	1	-1E+10	1	0.98	1	7.8511	4	7.5879	4	2341	0	2248	4	531.3	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	1499.26	0	2.5293	0	34.6247	0	27.636	0	1481.015	0	174.66	0	53.4	0	33.58	0	0.0036	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.8488	4	7.5831	4	2338	0	2247	4	540.3	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	1399.43	0	2.5839	0	34.5954	0	27.607	0	1382.727	0	173.49	0	53.1	0	33.93	0	0.0036	0	0.0012	0	0.000301	1	-1E+10	1	1.04	1	7.8471	4	7.5787	4	2335	0	2246	4	548.4	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	1300.08	0	2.6390	0	34.5673	0	27.580	0	1284.865	0	173.25	0	53.1	0	34.04	0	0.0036	0	0.0012	0	0.000290	1	-1E+10	1	1.01	1	7.8449	4	7.5739	4	2332	0	2245	4	557.3	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	1199.51	0	2.7406	0	34.5178	0	27.531	0	1185.755	0	174.11	0	53.4	0	34.47	0	0.0036	0	0.0012	0	0.000323	1	-1E+10	1	1.09	1	7.8449	4	7.5717	4	2328	0	2242	4	563.4	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	1099.08	0	2.7948	0	34.4721	0	27.489	0	1086.736	0	177.44	0	54.5	0	34.57	0	0.0036	0	0.0012	0	0.000422	1	-1E+10	1	1.35	1	7.8414	4	7.5656	4	2322	0	2238	4	573.6	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	999.73	0	2.8759	0	34.4318	0	27.449	0	988.736	0	181.31	0	55.8	0	34.45	0	0.0036	0	0.0012	0	0.000335	1	-1E+10	1	1.12	1	7.8490	4	7.5700	4	2318	0	2233	4	568.8	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	950.84	0	2.9547	0	34.4129	0	27.426	0	940.493	0	183.92	0	56.7	0	34.26	0	0.0036	0	0.0012	0	0.000379	1	-1E+10	1	1.24	1	7.8480	4	7.5684	4	2315	0	2231	4	573.0	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	901.74	0	2.9834	0	34.3877	0	27.403	0	892.032	0	188.21	0	58.1	0	34.27	0	0.0036	0	0.0012	0	0.000423	1	-1E+10	1	1.35	1	7.8490	4	7.5679	4	2312	0	2227	4	574.1	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	851.21	0	3.0563	0	34.3559	0	27.371	0	842.148	0	193.32	0	59.7	0	33.83	0	0.0036	0	0.0012	0	0.000368	1	-1E+10	1	1.21	1	7.8566	4	7.5740	4	2308	0	2222	4	566.0	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	800.68	0	3.1645	0	34.3284	0	27.339	0	792.252	0	199.32	0	61.7	0	33.39	0	0.0036	0	0.0012	0	0.000358	1	-1E+10	1	1.18	1	7.8636	4	7.5799	4	2304	0	2216	4	559.1	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	751.15	0	3.3525	0	34.3164	0	27.312	0	743.331	0	202.78	0	63.1	0	32.85	0	0.0036	0	0.0012	0	0.000358	1	-1E+10	1	1.18	1	7.8719	4	7.5883	4	2302	0	2211	4	550.7	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	701.66	0	3.4758	0	34.3063	0	27.291	0	694.439	0	205.63	0	64.2	0	32.42	0	0.0036	0	0.0012	0	0.000347	1	-1E+10	1	1.16	1	7.8788	4	7.5945	4	2301	0	2207	4	544.5	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	651.13	0	3.4761	0	34.2727	0	27.264	0	644.507	0	212.63	0	66.3	0	32.07	0	0.0036	0	0.0012	0	0.000380	1	-1E+10	1	1.24	1	7.8877	4	7.6008	4	2298	0	2203	4	535.1	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	601.64	0	3.6428	0	34.2581	0	27.236	0	595.591	0	217.50	0	68.1	0	31.47	0	0.0036	0	0.0012	0	0.000381	1	-1E+10	1	1.24	1	7.8949	4	7.6078	4	2296	0	2198	4	528.5	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	551.44	0	3.8817	0	34.2337	0	27.193	0	545.961	0	224.40	0	70.7	0	30.58	0	0.0036	0	0.0012	0	0.000392	1	-1E+10	1	1.27	1	7.9049	4	7.6186	4	2292	0	2191	4	518.3	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	501.04	0	3.8524	0	34.2078	0	27.175	0	496.122	0	230.93	0	72.7	0	30.15	0	0.0000	0	0.0000	0	0.000447	1	-1E+10	1	1.42	1	7.9134	4	7.6241	4	2291	0	2187	4	510.0	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	451.32	0	4.1573	0	34.1937	0	27.132	0	446.944	0	237.26	0	75.2	0	29.15	0	0.0036	0	0.0012	0	0.000458	1	-1E+10	1	1.45	1	7.9237	4	7.6361	4	2288	0	2180	4	500.0	4
5904677	1	C	04/01/2016	17:03	147.181	-50.480	0	401.37	0	4.1824	0	34.1722	0	27.112	0	397.526	0	242.52	0	76.9	0	28.51	0	0.0000	0	0.0000	0	0.000469	1	-1E+10	1	1.47	1	7.9332	4	7.6434	4	2286	0	2176	4	490.6	4
