//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 20:20
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904763
//Univ. of Washington ID: 9632
//MBARI ID: 9632SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 31 53 93 146 156 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6740	
//Temperature[°C]	Sbe41cp	6740	
//Salinity[pss]	Sbe41cp	6740	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1905	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0045 Spec#098655 Equitech Ti probe #20150209RR10.38  MBARI ARGO float#714  DF#98  CTD#6740	
//Chl_a[mg/m^3]	FLBBAP2	3682	
//Chl_a_corr[mg/m^3]	FLBBAP2	3682	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3682	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3682	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	98	
//pH25C[Total]	Durafet	98	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0773	0.0000	0.0009
//Oxygen	147	1.0811	0.0000	0.0000
//Nitrate	1	1.0000	5.0000	0.0000
//Nitrate	6	1.0000	8.5000	0.0000
//pH	1	1.0000	0.0193	0.0000
//pH	2	1.0000	-0.0177	-0.0401
//pH	13	1.0000	-0.0227	-0.2150
//pH	28	1.0000	-0.1212	0.0640
//pH	44	1.0000	-0.0877	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1993.72	0	2.3879	0	34.6504	0	27.672	0	1967.259	0	173.45	0	52.8	0	37.31	8	0.0108	0	0.0036	0	0.000265	1	-1E+10	1	0.94	1	7.8326	0	7.5854	0	2350	0	2261	0	533.5	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1896.42	0	2.4439	0	34.6293	0	27.650	0	1871.677	0	171.69	0	52.4	0	37.33	8	0.0108	0	0.0036	0	0.000276	1	-1E+10	1	0.97	1	7.8292	0	7.5796	0	2347	0	2260	0	543.7	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1798.28	0	2.5111	0	34.6015	0	27.621	0	1775.227	0	171.19	0	52.3	0	37.75	8	0.0072	0	0.0024	0	0.000276	1	-1E+10	1	0.97	1	7.8255	0	7.5736	0	2343	0	2259	0	554.4	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1697.97	0	2.5952	0	34.5647	0	27.584	0	1676.599	0	171.30	0	52.4	0	37.80	8	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.8203	0	7.5664	0	2339	0	2258	0	567.6	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1598.52	0	2.7096	0	34.5296	0	27.545	0	1578.771	0	171.46	0	52.6	0	37.93	8	0.0072	0	0.0024	0	0.000299	1	-1E+10	1	1.03	1	7.8221	0	7.5660	0	2335	0	2254	0	571.1	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1499.10	0	2.8378	0	34.4911	0	27.503	0	1480.927	0	174.04	0	53.5	0	37.96	8	0.0108	0	0.0036	0	0.000310	1	-1E+10	1	1.06	1	7.8244	0	7.5663	0	2331	0	2250	0	573.8	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1398.86	0	2.9533	0	34.4445	0	27.455	0	1382.230	0	179.18	0	55.3	0	37.89	8	0.0108	0	0.0036	0	0.000310	1	-1E+10	1	1.06	1	7.8273	0	7.5668	0	2325	0	2244	0	575.2	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1299.22	0	3.1544	0	34.4002	0	27.401	0	1284.078	0	185.66	0	57.5	0	37.82	8	0.0072	0	0.0024	0	0.000322	1	-1E+10	1	1.09	1	7.8346	0	7.5725	0	2320	0	2238	0	571.1	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1199.48	0	3.4102	0	34.3746	0	27.356	0	1185.781	0	190.46	0	59.4	0	37.34	8	0.0072	0	0.0024	0	0.000311	1	-1E+10	1	1.06	1	7.8443	0	7.5812	0	2320	0	2234	0	564.7	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	1099.47	0	3.8151	0	34.3414	0	27.289	0	1087.172	0	197.28	0	62.1	0	36.31	8	0.0072	0	0.0024	0	0.000323	1	-1E+10	1	1.09	1	7.8586	0	7.5961	0	2311	0	2220	0	550.4	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	998.37	0	4.1027	0	34.3073	0	27.232	0	987.441	0	205.80	0	65.2	0	35.28	8	0.0072	0	0.0024	0	0.000313	1	-1E+10	1	1.07	1	7.8685	0	7.6054	0	2302	0	2208	0	541.9	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	951.37	0	4.3478	0	34.2959	0	27.197	0	941.061	0	209.27	0	66.7	0	34.27	8	0.0072	0	0.0024	0	0.000324	1	-1E+10	1	1.10	1	7.8714	0	7.6098	0	2297	0	2202	0	540.7	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	901.65	0	4.6895	0	34.3086	0	27.170	0	891.985	0	207.93	0	66.8	0	33.60	8	0.0072	0	0.0024	0	0.000325	1	-1E+10	1	1.10	1	7.8767	0	7.6176	0	2297	0	2198	0	537.3	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	850.69	0	5.2201	0	34.3279	0	27.125	0	841.674	0	208.86	0	68.0	0	32.69	8	0.0072	0	0.0024	0	0.000402	1	-1E+10	1	1.30	1	7.8858	0	7.6315	0	2296	0	2192	0	529.4	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	801.02	0	5.4673	0	34.3262	0	27.094	0	792.625	0	213.80	0	70.0	0	30.67	8	0.0072	0	0.0024	0	0.000359	1	-1E+10	1	1.19	1	7.8915	0	7.6384	0	2293	0	2187	0	524.8	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	750.87	0	5.8089	0	34.3339	0	27.059	0	743.089	0	216.63	0	71.5	0	28.82	8	0.0072	0	0.0024	0	0.000338	1	-1E+10	1	1.13	1	7.9044	0	7.6533	0	2290	0	2178	0	511.1	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	700.59	0	6.0748	0	34.3420	0	27.031	0	693.414	0	219.26	0	72.8	0	23.28	0	0.0072	0	0.0024	0	0.000403	1	-1E+10	1	1.30	1	7.9119	0	7.6619	0	2289	0	2171	0	504.0	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	651.41	0	6.3280	0	34.3516	0	27.006	0	644.814	0	223.49	0	74.6	0	22.24	0	0.0072	0	0.0024	0	0.000327	1	-1E+10	1	1.10	1	7.9219	0	7.6730	0	2287	0	2166	0	494.5	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	601.42	0	6.5863	0	34.3578	0	26.977	0	595.401	0	229.17	0	77.0	0	27.08	8	0.0072	0	0.0024	0	0.000339	1	-1E+10	1	1.13	1	7.9276	0	7.6806	0	2286	0	2163	0	490.8	0
5904763	1	C	05/19/2016	10:04	190.225	-49.963	0	550.66	0	6.7428	0	34.3540	0	26.952	0	545.216	0	239.56	0	80.8	0	24.48	8	0.0072	0	0.0024	0	0.000437	1	-1E+10	1	1.39	1	7.9420	0	7.6945	0	2283	0	2155	0	475.5	0
