//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 20:32
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904682
//Univ. of Washington ID: 9637
//MBARI ID: 9637SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 100 101 130 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 15 28 82 93 95 101 155 156 157 158 159 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6729	
//Temperature[°C]	Sbe41cp	6729	
//Salinity[pss]	Sbe41cp	6729	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1916	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0014 Spec#090065 Equitech Ti probe #20150209RR10.36  MBARI ARGO float#712  DF#95  CTD#6729	
//Chl_a[mg/m^3]	FLBBAP2	3810	
//Chl_a_corr[mg/m^3]	FLBBAP2	3810	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3810	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3810	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	95	
//pH25C[Total]	Durafet	95	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0694	0.0000	-0.0032
//Oxygen	154	1.0555	0.0000	0.0000
//Nitrate	1	1.0000	-0.9057	0.0000
//Nitrate	2	1.0000	-1.6815	0.3907
//Nitrate	55	1.0000	-1.0891	-38.4160
//Nitrate	59	1.0000	-4.9064	3.0521
//Nitrate	115	1.0000	-1.4660	1.4501
//Nitrate	154	1.0000	-0.1566	0.0000
//pH	1	1.0000	-0.0407	-0.0336
//pH	11	1.0000	-0.0575	0.1023
//pH	23	1.0000	-0.0338	0.0173
//pH	58	1.0000	-0.0284	0.0000
//pH	142	1.0000	-0.0399	0.0363
//pH	154	1.0000	-0.0243	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	1798.78	0	1.9850	0	34.7155	0	27.754	0	1775.617	0	197.08	0	59.5	0	30.67	0	0.0108	0	0.0036	0	0.000259	1	-1E+10	1	0.93	1	7.8724	0	7.6078	0	2348	0	2248	0	493.2	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	1699.50	0	2.0045	0	34.7146	0	27.752	0	1678.007	0	195.46	0	59.0	0	30.83	0	0.0036	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.8756	0	7.6073	0	2347	0	2246	0	494.6	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	1599.15	0	2.0363	0	34.7111	0	27.746	0	1579.300	0	194.21	0	58.7	0	30.77	0	0.0072	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.8783	0	7.6066	0	2344	0	2244	0	496.6	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	1497.23	0	2.0645	0	34.7076	0	27.740	0	1479.001	0	192.84	0	58.3	0	30.93	0	0.0108	0	0.0036	0	0.000282	1	-1E+10	1	0.99	1	7.8794	0	7.6043	0	2344	0	2245	0	501.2	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	1399.15	0	2.0861	0	34.7039	0	27.735	0	1382.436	0	191.62	0	58.0	0	30.95	0	0.0072	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1	7.8801	0	7.6015	0	2344	0	2246	0	506.2	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	1299.07	0	2.1147	0	34.6980	0	27.727	0	1283.856	0	190.07	0	57.5	0	31.08	0	0.0072	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.8809	0	7.5990	0	2344	0	2247	0	511.2	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	1199.65	0	2.1442	0	34.6914	0	27.719	0	1185.881	0	188.56	0	57.1	0	31.42	0	0.0108	0	0.0036	0	0.000271	1	-1E+10	1	0.96	1	7.8837	0	7.5982	0	2344	0	2247	0	513.7	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	1098.70	0	2.2207	0	34.6729	0	27.697	0	1086.350	0	185.22	0	56.2	0	31.67	0	0.0072	0	0.0024	0	0.000305	1	-1E+10	1	1.05	1	7.8786	0	7.5910	0	2343	0	2248	0	526.3	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	999.66	0	2.3401	0	34.6439	0	27.664	0	988.657	0	181.90	0	55.3	0	32.19	0	0.0108	0	0.0036	0	0.000350	1	-1E+10	1	1.16	1	7.8722	0	7.5833	0	2340	0	2248	0	540.7	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	950.87	0	2.4279	0	34.6245	0	27.641	0	940.513	0	180.00	0	54.9	0	32.58	0	0.0072	0	0.0024	0	0.000361	1	-1E+10	1	1.19	1	7.8667	0	7.5778	0	2338	0	2249	0	551.1	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	901.74	0	2.4462	0	34.6077	0	27.626	0	892.023	0	178.77	0	54.5	0	32.75	0	0.0108	0	0.0036	0	0.000350	1	-1E+10	1	1.16	1	7.8589	0	7.5692	0	2336	0	2250	0	565.1	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	850.79	0	2.4807	0	34.5860	0	27.605	0	841.724	0	177.26	0	54.1	0	33.08	0	0.0036	0	0.0012	0	0.000339	1	-1E+10	1	1.13	1	7.8597	0	7.5686	0	2335	0	2249	0	566.9	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	800.85	0	2.4692	0	34.5573	0	27.583	0	792.411	0	176.88	0	53.9	0	33.46	0	0.0108	0	0.0036	0	0.001144	1	-1E+10	1	3.23	1	7.8542	0	7.5616	0	2332	0	2249	0	577.6	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	751.34	0	2.5844	0	34.5433	0	27.562	0	743.511	0	176.13	0	53.9	0	33.49	0	0.0036	0	0.0012	0	0.000384	1	-1E+10	1	1.25	1	7.8559	0	7.5630	0	2330	0	2246	0	578.1	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	701.67	0	2.6114	0	34.5196	0	27.540	0	694.441	0	176.38	0	54.0	0	33.64	0	0.0108	0	0.0036	0	0.000339	1	-1E+10	1	1.14	1	7.8556	0	7.5612	0	2327	0	2244	0	581.5	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	650.83	0	2.7392	0	34.4929	0	27.507	0	644.203	0	177.26	0	54.4	0	33.73	0	0.0072	0	0.0024	0	0.000373	1	-1E+10	1	1.22	1	7.8519	0	7.5578	0	2323	0	2242	0	589.8	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	601.40	0	2.7590	0	34.4525	0	27.473	0	595.347	0	179.96	0	55.2	0	34.04	0	0.0108	0	0.0036	0	0.000463	1	-1E+10	1	1.46	1	7.8506	0	7.5552	0	2320	0	2239	0	594.2	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	550.95	0	2.7024	0	34.4071	0	27.441	0	545.471	0	184.33	0	56.5	0	34.04	0	0.0108	0	0.0036	0	0.000385	1	-1E+10	1	1.25	1	7.8509	0	7.5528	0	2315	0	2236	0	596.1	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	500.93	0	2.7261	0	34.3592	0	27.401	0	496.008	0	191.86	0	58.8	0	33.88	0	0.0108	0	0.0036	0	0.000586	1	-1E+10	1	1.78	1	7.8568	0	7.5566	0	2311	0	2230	0	590.0	0
5904682	1	C	03/02/2016	03:09	90.399	-50.597	0	451.54	0	2.7243	0	34.3061	0	27.358	0	447.157	0	202.77	0	62.1	0	33.44	0	0.0036	0	0.0012	0	0.000497	1	-1E+10	1	1.54	1	7.8647	0	7.5619	0	2306	0	2224	0	580.7	0
