//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 20:38
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904685
//Univ. of Washington ID: 9642
//MBARI ID: 9642SOOCN
//Missing Float profile(s) for station(s): 126 142 
//Missing Float position interpolated for station(s): 80 92 143 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 143 144 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6736	
//Temperature[°C]	Sbe41cp	6736	
//Salinity[pss]	Sbe41cp	6736	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1876	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0044 Spec#098659 Equitech Ti probe #20150209RR10.19  MBARI ARGO float#723  DF#106  CTD#6736	
//Chl_a[mg/m^3]	FLBBAP2	3801	
//Chl_a_corr[mg/m^3]	FLBBAP2	3801	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3801	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3801	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	106	
//pH25C[Total]	Durafet	106	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1015	0.0000	0.0000
//Nitrate	1	1.0000	3.9738	-17.2646
//Nitrate	8	1.0000	0.9919	-2.4312
//Nitrate	53	1.0000	-1.4952	0.0000
//pH	1	1.0000	-0.0037	-0.5514
//pH	3	1.0000	-0.0045	-0.1897
//pH	8	1.0000	-0.0222	-0.4355
//pH	15	1.0000	-0.1002	-0.0555
//pH	32	1.0000	-0.1232	0.1449
//pH	36	1.0000	-0.1052	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1999.39	0	2.2265	0	34.6298	0	27.668	0	1974.811	0	163.74	0	49.7	0	36.69	0	0.0144	0	0.0048	0	0.000218	1	-1E+10	1	0.82	1	7.8278	0	7.5784	0	2365	0	2274	0	539.6	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1898.67	0	2.3251	0	34.6126	0	27.646	0	1875.773	0	160.34	0	48.7	0	36.95	0	0.0072	0	0.0024	0	0.000230	1	-1E+10	1	0.85	1	7.8237	0	7.5723	0	2364	0	2275	0	551.7	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1798.85	0	2.4603	0	34.5898	0	27.616	0	1777.573	0	157.02	0	47.9	0	37.23	0	0.0108	0	0.0036	0	0.000253	1	-1E+10	1	0.91	1	7.8148	0	7.5626	0	2360	0	2275	0	570.1	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1698.43	0	2.6006	0	34.5702	0	27.588	0	1678.738	0	151.96	0	46.5	0	37.54	0	0.0108	0	0.0036	0	0.000321	1	-1E+10	1	1.09	1	7.8087	0	7.5554	0	2357	0	2275	0	585.5	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1599.92	0	2.7575	0	34.5510	0	27.558	0	1581.738	0	145.67	0	44.7	0	37.63	0	0.0108	0	0.0036	0	0.000265	1	-1E+10	1	0.94	1	7.7955	0	7.5422	0	2354	0	2277	0	611.8	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1499.05	0	2.9768	0	34.5296	0	27.521	0	1482.367	0	132.07	0	40.8	0	38.02	0	0.0144	0	0.0048	0	0.000254	1	-1E+10	1	0.91	1	7.7724	0	7.5210	0	2352	0	2283	0	655.7	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1399.09	0	3.1489	0	34.4882	0	27.472	0	1383.847	0	138.72	0	43.0	0	36.84	0	0.0108	0	0.0036	0	0.000254	1	-1E+10	1	0.91	1	7.7782	0	7.5248	0	2340	0	2270	0	651.2	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1299.58	0	3.3194	0	34.4421	0	27.419	0	1285.724	0	149.39	0	46.5	0	35.38	0	0.0108	0	0.0036	0	0.000255	1	-1E+10	1	0.92	1	7.7887	0	7.5329	0	2327	0	2254	0	639.0	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1199.40	0	3.4886	0	34.3960	0	27.365	0	1186.895	0	163.68	0	51.1	0	33.94	0	0.0072	0	0.0024	0	0.000244	1	-1E+10	1	0.89	1	7.8089	0	7.5497	0	2315	0	2237	0	612.4	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	1098.78	0	3.7832	0	34.3441	0	27.295	0	1087.584	0	183.49	0	57.7	0	32.00	0	0.0108	0	0.0036	0	0.000233	1	-1E+10	1	0.86	1	7.8389	0	7.5772	0	2304	0	2217	0	573.3	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	998.89	0	4.2012	0	34.3038	0	27.220	0	988.947	0	201.74	0	64.1	0	29.95	0	0.0036	0	0.0012	0	0.000234	1	-1E+10	1	0.86	1	7.8702	0	7.6078	0	2295	0	2197	0	535.4	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	950.80	0	4.4059	0	34.2918	0	27.188	0	941.444	0	209.08	0	66.7	0	28.87	0	0.0072	0	0.0024	0	0.000246	1	-1E+10	1	0.89	1	7.8793	0	7.6172	0	2292	0	2191	0	526.2	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	901.26	0	4.6819	0	34.2788	0	27.148	0	892.497	0	215.45	0	69.2	0	27.82	0	0.0036	0	0.0012	0	0.000247	1	-1E+10	1	0.89	1	7.8904	0	7.6295	0	2288	0	2183	0	514.5	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	851.06	0	4.9368	0	34.2689	0	27.111	0	842.886	0	222.70	0	72.0	0	26.70	0	0.0036	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.9041	0	7.6439	0	2285	0	2174	0	499.8	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	801.40	0	5.1580	0	34.2611	0	27.079	0	793.797	0	231.03	0	75.0	0	25.59	0	0.0036	0	0.0012	0	0.000247	1	-1E+10	1	0.90	1	7.9165	0	7.6567	0	2281	0	2166	0	487.0	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	751.28	0	5.3575	0	34.2552	0	27.051	0	744.242	0	240.59	0	78.5	0	24.35	0	0.0036	0	0.0012	0	0.000248	1	-1E+10	1	0.90	1	7.9316	0	7.6718	0	2279	0	2158	0	471.3	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	701.39	0	5.5162	0	34.2481	0	27.026	0	694.903	0	250.46	0	82.0	0	23.50	0	0.0036	0	0.0012	0	0.000282	1	-1E+10	1	0.99	1	7.9435	0	7.6833	0	2277	0	2152	0	459.8	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	650.87	0	5.6927	0	34.2528	0	27.008	0	644.928	0	256.00	0	84.2	0	22.66	0	0.0036	0	0.0012	0	0.000282	1	-1E+10	1	0.99	1	7.9502	0	7.6903	0	2276	0	2149	0	454.9	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	601.09	0	5.8699	0	34.2610	0	26.992	0	595.674	0	258.00	0	85.2	0	22.02	0	0.0000	0	0.0000	0	0.000260	1	-1E+10	1	0.93	1	7.9550	0	7.6956	0	2277	0	2147	0	452.3	0
5904685	1	C	01/09/2017	16:02	256.886	-39.002	0	551.50	0	6.0462	0	34.2717	0	26.978	0	546.596	0	258.52	0	85.7	0	21.52	0	0.0036	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1	7.9582	0	7.6993	0	2276	0	2145	0	451.5	0
