//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 20:43
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904676
//Univ. of Washington ID: 9645
//MBARI ID: 9645SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 81 116 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6735	
//Temperature[°C]	Sbe41cp	6735	
//Salinity[pss]	Sbe41cp	6735	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1915	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0015 Spec#098658 Equitech Ti probe #20150209RR10.34  MBARI ARGO float#722  DF#105  CTD#6735	
//Chl_a[mg/m^3]	FLBBAP2	3688	
//Chl_a_corr[mg/m^3]	FLBBAP2	3688	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3688	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3688	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	105	
//pH25C[Total]	Durafet	105	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0635	0.0000	-0.0019
//Oxygen	149	1.0548	0.0000	0.0000
//Nitrate	1	1.0000	7.5000	0.0000
//Nitrate	6	1.0000	0.9000	13.7000
//Nitrate	12	1.0000	0.0000	0.0000
//pH	1	1.0000	-0.0830	0.0000
//pH	3	1.0000	0.0130	0.0000
//pH	9	1.0000	0.0150	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	1798.64	0	2.1654	0	34.7527	0	27.770	0	1775.855	0	196.24	0	59.5	0	19.33	8	0.0072	0	0.0024	0	0.000287	1	-1E+10	1	1.00	1	7.8845	8	7.6218	8	2349	0	2246	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	1699.55	0	2.2477	0	34.7465	0	27.758	0	1678.411	0	193.88	0	58.9	0	19.46	8	0.0072	0	0.0024	0	0.000298	1	-1E+10	1	1.03	1	7.8819	8	7.6170	8	2347	0	2246	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	1598.89	0	2.3033	0	34.7343	0	27.743	0	1579.378	0	191.03	0	58.1	0	19.72	8	0.0072	0	0.0024	0	0.000320	1	-1E+10	1	1.09	1	7.8779	8	7.6105	8	2346	0	2247	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	1499.63	0	2.3848	0	34.7199	0	27.724	0	1481.677	0	187.98	0	57.3	0	20.05	8	0.0000	0	0.0000	0	0.000419	1	-1E+10	1	1.34	1	7.8739	8	7.6044	8	2345	0	2248	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	1399.93	0	2.4100	0	34.7004	0	27.706	0	1383.497	0	184.38	0	56.2	0	20.63	8	0.0072	0	0.0024	0	0.000342	1	-1E+10	1	1.14	1	7.8613	8	7.5898	8	2343	0	2253	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	1299.21	0	2.5414	0	34.6671	0	27.668	0	1284.266	0	179.32	0	54.8	0	21.10	8	0.0072	0	0.0024	0	0.000332	1	-1E+10	1	1.12	1	7.8567	8	7.5837	8	2341	0	2253	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	1198.92	0	2.6072	0	34.6354	0	27.636	0	1185.412	0	176.46	0	54.0	0	21.71	8	0.0072	0	0.0024	0	0.000321	1	-1E+10	1	1.09	1	7.8506	8	7.5756	8	2339	0	2253	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	1099.32	0	2.6145	0	34.5993	0	27.606	0	1087.191	0	174.26	0	53.4	0	22.25	8	0.0072	0	0.0024	0	0.000376	1	-1E+10	1	1.23	1	7.8432	8	7.5653	8	2336	0	2255	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	998.82	0	2.7365	0	34.5532	0	27.558	0	988.037	0	172.50	0	53.0	0	22.78	8	0.0072	0	0.0024	0	0.000365	1	-1E+10	1	1.20	1	7.8365	8	7.5574	8	2331	0	2253	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	951.22	0	2.8239	0	34.5393	0	27.539	0	941.058	0	172.91	0	53.2	0	22.73	8	0.0000	0	0.0000	0	0.000354	1	-1E+10	1	1.17	1	7.8413	8	7.5611	8	2330	0	2250	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	901.09	0	2.8245	0	34.5139	0	27.518	0	891.570	0	173.82	0	53.5	0	23.11	8	0.0072	0	0.0024	0	0.000344	1	-1E+10	1	1.15	1	7.8368	8	7.5553	8	2327	0	2250	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	851.51	0	2.5256	0	34.4327	0	27.479	0	842.613	0	180.57	0	55.1	0	23.89	8	0.0072	0	0.0024	0	0.000474	1	-1E+10	1	1.49	1	7.8251	8	7.5390	8	2322	0	2251	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	801.69	0	2.6888	0	34.4027	0	27.441	0	793.409	0	183.82	0	56.3	0	23.64	8	0.0036	0	0.0012	0	0.000442	1	-1E+10	1	1.40	1	7.8312	8	7.5449	8	2318	0	2245	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	750.79	0	2.6325	0	34.3596	0	27.411	0	743.125	0	189.76	0	58.0	0	23.71	8	0.0036	0	0.0012	0	0.000420	1	-1E+10	1	1.35	1	7.8327	8	7.5436	8	2314	0	2242	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	700.97	0	2.7092	0	34.3285	0	27.379	0	693.896	0	196.21	0	60.1	0	23.07	8	0.0000	0	0.0000	0	0.000420	1	-1E+10	1	1.35	1	7.8404	8	7.5497	8	2310	0	2236	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	650.98	0	3.1518	0	34.3530	0	27.359	0	644.488	0	195.93	0	60.7	0	22.29	8	0.0036	0	0.0012	0	0.000366	1	-1E+10	1	1.21	1	7.8527	8	7.5651	8	2309	0	2230	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	600.76	0	3.2559	0	34.3312	0	27.331	0	594.841	0	200.14	0	62.1	0	21.86	8	0.0036	0	0.0012	0	0.000400	1	-1E+10	1	1.29	1	7.8644	8	7.5753	8	2307	0	2223	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	551.39	0	3.5404	0	34.3197	0	27.295	0	546.022	0	204.99	0	64.1	0	21.11	8	0.0000	0	0.0000	0	0.000389	1	-1E+10	1	1.27	1	7.8735	8	7.5857	8	2303	0	2216	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	501.34	0	3.4273	0	34.2518	0	27.251	0	496.519	0	217.21	0	67.7	0	20.40	8	0.0036	0	0.0012	0	0.000400	1	-1E+10	1	1.29	1	7.8872	8	7.5948	8	2298	0	2208	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	451.32	0	3.5961	0	34.2092	0	27.201	0	447.034	0	232.54	0	72.7	0	19.51	8	0.0036	0	0.0012	0	0.000510	1	-1E+10	1	1.58	1	7.9021	8	7.6090	8	2293	0	2198	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	400.78	0	4.0001	0	34.2352	0	27.181	0	397.022	0	230.05	0	72.7	0	18.88	8	0.0000	0	0.0000	0	0.000412	1	-1E+10	1	1.32	1	7.9071	8	7.6174	8	2292	0	2194	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	380.64	0	4.0324	0	34.2212	0	27.166	0	377.089	0	232.78	0	73.6	0	18.55	8	0.0036	0	0.0012	0	0.000412	1	-1E+10	1	1.32	1	7.9122	8	7.6218	8	2291	0	2191	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	361.46	0	3.8433	0	34.1782	0	27.151	0	358.105	0	240.94	0	75.8	0	18.41	8	0.0000	0	0.0000	0	0.000456	1	-1E+10	1	1.44	1	7.9192	8	7.6248	8	2289	0	2189	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	351.56	0	3.8210	0	34.1664	0	27.144	0	348.305	0	244.58	0	76.9	0	18.31	8	0.0036	0	0.0012	0	0.000499	1	-1E+10	1	1.55	1	7.9198	8	7.6247	8	2289	0	2188	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	341.01	0	3.8467	0	34.1638	0	27.139	0	337.861	0	246.09	0	77.4	0	18.15	8	0.0000	0	0.0000	0	0.000478	1	-1E+10	1	1.49	1	7.9219	8	7.6266	8	2288	0	2187	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	331.72	0	3.8762	0	34.1615	0	27.134	0	328.664	0	246.71	0	77.7	0	18.12	8	0.0036	0	0.0012	0	0.000489	1	-1E+10	1	1.52	1	7.9233	8	7.6280	8	2288	0	2187	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	321.67	0	4.0400	0	34.1625	0	27.118	0	318.715	0	247.22	0	78.1	0	17.77	8	0.0000	0	0.0000	0	0.000478	1	-1E+10	1	1.50	1	7.9262	8	7.6326	8	2287	0	2184	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	311.27	0	4.1270	0	34.1597	0	27.107	0	308.418	0	248.12	0	78.6	0	17.40	8	0.0000	0	0.0000	0	0.000489	1	-1E+10	1	1.52	1	7.9268	8	7.6340	8	2287	0	2183	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	301.04	0	4.3046	0	34.1705	0	27.097	0	298.289	0	247.69	0	78.8	0	17.00	8	0.0000	0	0.0000	0	0.000489	1	-1E+10	1	1.53	1	7.9297	8	7.6389	8	2286	0	2181	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	291.53	0	4.4220	0	34.1701	0	27.084	0	288.872	0	247.27	0	78.9	0	16.88	8	0.0000	0	0.0000	0	0.000489	1	-1E+10	1	1.53	1	7.9306	8	7.6410	8	2286	0	2179	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	281.28	0	4.4789	0	34.1573	0	27.068	0	278.723	0	249.21	0	79.6	0	16.31	8	0.0036	0	0.0012	0	0.000490	1	-1E+10	1	1.53	1	7.9356	8	7.6461	8	2285	0	2177	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	271.24	0	4.4145	0	34.1441	0	27.064	0	268.781	0	252.71	0	80.6	0	16.33	8	0.0000	0	0.0000	0	0.000490	1	-1E+10	1	1.53	1	7.9422	8	7.6509	8	2285	0	2175	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	261.33	0	4.1369	0	34.0804	0	27.042	0	258.967	0	262.31	0	83.0	0	15.93	8	0.0036	0	0.0012	0	0.000467	1	-1E+10	1	1.47	1	7.9538	8	7.6573	8	2283	0	2171	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	251.30	0	3.9794	0	34.0341	0	27.022	0	249.033	0	273.64	0	86.3	0	15.61	8	0.0000	0	0.0000	0	0.000489	1	-1E+10	1	1.52	1	7.9600	8	7.6604	8	2281	0	2168	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	240.31	0	4.0229	0	34.0234	0	27.009	0	238.149	0	277.62	0	87.6	0	15.42	8	0.0000	0	0.0000	0	0.000456	1	-1E+10	1	1.44	1	7.9652	8	7.6654	8	2281	0	2166	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	231.42	0	4.0147	0	34.0025	0	26.993	0	229.344	0	280.86	0	88.6	0	15.35	8	0.0036	0	0.0012	0	0.000478	1	-1E+10	1	1.50	1	7.9714	8	7.6708	8	2280	0	2163	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	220.95	0	3.9859	0	33.9778	0	26.976	0	218.973	0	286.77	0	90.4	0	14.95	8	0.0036	0	0.0012	0	0.000544	1	-1E+10	1	1.67	1	7.9791	8	7.6771	8	2279	0	2161	8	 -1e10	1
5904676	1	C	01/18/2016	05:17	79.770	-48.277	0	211.61	0	3.9951	0	33.9580	0	26.959	0	209.721	0	290.26	0	91.5	0	15.01	8	0.0000	0	0.0000	0	0.000500	1	-1E+10	1	1.55	1	7.9794	8	7.6772	8	2279	0	2160	8	 -1e10	1
