//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 20:48
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904661
//Univ. of Washington ID: 9646
//MBARI ID: 9646SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 25 50 102 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 39 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6727	
//Temperature[°C]	Sbe41cp	6727	
//Salinity[pss]	Sbe41cp	6727	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1901	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0008 Spec#093156 Equitech Ti probe #20150209RR10.12  MBARI ARGO float#710  Durafet#93  CTD#6727	
//Chl_a[mg/m^3]	FLBBAP2	3806	
//Chl_a_corr[mg/m^3]	FLBBAP2	3806	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3806	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3806	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	93	
//pH25C[Total]	Durafet	93	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1158	0.0000	0.0000
//Nitrate	1	1.0000	-0.4151	-45.2467
//Nitrate	3	1.0000	-1.9219	0.0000
//Nitrate	23	1.0000	-2.4648	0.0652
//Nitrate	156	1.0000	-2.5468	0.0000
//pH	1	1.0000	-0.0222	0.6208
//pH	3	1.0000	0.0025	0.0144
//pH	20	1.0000	0.0132	-0.0230
//pH	56	1.0000	-0.0012	-0.0301
//pH	81	1.0000	-0.0292	0.0000
//pH	110	1.0000	-0.0301	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	1798.57	0	2.4438	0	34.6049	0	27.629	0	1774.831	0	169.07	0	51.6	0	34.21	0	0.0073	0	0.0024	0	0.000222	1	-1E+10	1	0.83	1	7.8178	0	7.5652	0	2341	0	2256	0	563.0	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	1697.93	0	2.5335	0	34.5739	0	27.596	0	1675.916	0	167.59	0	51.2	0	34.22	0	0.0109	0	0.0037	0	0.000234	1	-1E+10	1	0.86	1	7.8136	0	7.5590	0	2338	0	2256	0	575.2	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	1599.28	0	2.5899	0	34.5406	0	27.564	0	1578.912	0	169.25	0	51.8	0	34.25	0	0.0146	0	0.0049	0	0.000245	1	-1E+10	1	0.89	1	7.8107	0	7.5536	0	2334	0	2254	0	585.2	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	1498.68	0	2.7016	0	34.5037	0	27.525	0	1479.945	0	171.23	0	52.5	0	34.43	0	0.0109	0	0.0037	0	0.000234	1	-1E+10	1	0.86	1	7.8154	0	7.5556	0	2330	0	2250	0	584.8	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	1399.82	0	2.8465	0	34.4605	0	27.477	0	1382.644	0	173.54	0	53.4	0	34.52	0	0.0146	0	0.0049	0	0.000223	1	-1E+10	1	0.83	1	7.8150	0	7.5537	0	2326	0	2246	0	591.4	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	1298.62	0	3.0115	0	34.4145	0	27.425	0	1282.994	0	179.35	0	55.4	0	34.20	0	0.0109	0	0.0037	0	0.000246	1	-1E+10	1	0.89	1	7.8245	0	7.5608	0	2319	0	2237	0	583.4	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	1199.97	0	3.1786	0	34.3763	0	27.379	0	1185.809	0	186.64	0	57.8	0	33.76	0	0.0109	0	0.0037	0	0.000235	1	-1E+10	1	0.87	1	7.8353	0	7.5692	0	2313	0	2228	0	573.5	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	1099.52	0	3.4422	0	34.3335	0	27.319	0	1086.804	0	194.84	0	60.8	0	32.97	0	0.0037	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	7.8474	0	7.5801	0	2305	0	2217	0	562.1	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	999.80	0	3.7286	0	34.2922	0	27.258	0	988.472	0	206.19	0	64.7	0	32.02	0	0.0037	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1	7.8632	0	7.5948	0	2297	0	2204	0	545.7	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	950.90	0	3.9040	0	34.2772	0	27.228	0	940.236	0	210.09	0	66.2	0	31.50	0	0.0073	0	0.0024	0	0.000237	1	-1E+10	1	0.87	1	7.8702	0	7.6019	0	2294	0	2198	0	538.9	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	901.66	0	4.1219	0	34.2609	0	27.193	0	891.653	0	215.48	0	68.3	0	30.65	0	0.0073	0	0.0024	0	0.000238	1	-1E+10	1	0.87	1	7.8780	0	7.6103	0	2290	0	2191	0	531.3	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	851.20	0	4.2981	0	34.2415	0	27.159	0	841.854	0	222.89	0	70.9	0	29.90	0	0.0000	0	0.0000	0	0.000238	1	-1E+10	1	0.87	1	7.8879	0	7.6199	0	2286	0	2184	0	521.0	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	801.38	0	4.5012	0	34.2346	0	27.131	0	792.676	0	226.99	0	72.6	0	29.14	0	0.0037	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.8994	0	7.6315	0	2284	0	2178	0	509.1	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	751.42	0	4.5614	0	34.2117	0	27.106	0	743.347	0	235.96	0	75.5	0	28.42	0	0.0000	0	0.0000	0	0.000238	1	-1E+10	1	0.87	1	7.9127	0	7.6429	0	2282	0	2172	0	494.8	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	701.52	0	4.6986	0	34.2013	0	27.082	0	694.066	0	242.91	0	78.0	0	27.65	0	0.0037	0	0.0012	0	0.000521	1	-1E+10	1	1.61	1	7.9234	0	7.6529	0	2281	0	2167	0	484.5	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	648.90	0	4.7601	0	34.1707	0	27.051	0	642.086	0	258.16	0	83.0	0	26.24	0	0.0000	0	0.0000	0	0.000239	1	-1E+10	1	0.87	1	7.9482	0	7.6748	0	2277	0	2156	0	457.3	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	601.72	0	4.8966	0	34.1672	0	27.032	0	595.469	0	265.67	0	85.7	0	25.41	0	0.0000	0	0.0000	0	0.000250	1	-1E+10	1	0.90	1	7.9592	0	7.6853	0	2276	0	2151	0	447.1	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	551.44	0	4.9632	0	34.1587	0	27.018	0	545.777	0	279.24	0	90.2	0	23.75	0	0.0000	0	0.0000	0	0.000262	1	-1E+10	1	0.93	1	7.9856	0	7.7091	0	2275	0	2141	0	420.4	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	501.21	0	5.0424	0	34.1633	0	27.012	0	496.123	0	294.99	0	95.5	0	22.84	0	0.0000	0	0.0000	0	0.000251	1	-1E+10	1	0.91	1	7.9973	0	7.7194	0	2273	0	2135	0	410.1	0
5904661	1	C	12/29/2015	05:07	270.749	-54.258	0	450.74	0	5.1155	0	34.1687	0	27.007	0	446.220	0	296.57	0	96.2	0	22.62	0	0.0109	0	0.0037	0	0.000420	1	-1E+10	1	1.35	1	8.0010	0	7.7221	0	2273	0	2133	0	408.7	0
