//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:00
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904660
//Univ. of Washington ID: 9652
//MBARI ID: 9652SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 85 149 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 4 87 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6728	
//Temperature[°C]	Sbe41cp	6728	
//Salinity[pss]	Sbe41cp	6728	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1913	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0001 Spec#093151 Equitech Ti probe #20150209RR10.33 MBARI ARGO float#705  Durafet#86  CTD#6728	
//Chl_a[mg/m^3]	FLBBAP2	3803	
//Chl_a_corr[mg/m^3]	FLBBAP2	3803	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3803	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3803	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	86	
//pH25C[Total]	Durafet	86	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1017	0.0000	0.0000
//Nitrate	1	1.0000	-4.1222	-143.3695
//Nitrate	3	1.0000	-8.1764	79.8098
//Nitrate	5	1.0000	-5.2373	1.2430
//Nitrate	40	1.0000	-3.9397	0.0000
//pH	1	1.0000	0.0204	0.0000
//pH	29	1.0000	0.0121	0.0000
//pH	67	1.0000	0.0222	-0.0141
//pH	97	1.0000	0.0219	0.0000
//pH	115	1.0000	0.0016	-0.1313
//pH	121	1.0000	-0.0179	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	1799.47	0	0.3395	0	34.6688	0	27.826	0	1774.770	0	213.43	0	61.7	0	33.66	0	0.0036	0	0.0012	0	0.000400	1	-1E+10	1	1.29	1	7.8676	0	7.5808	0	2358	0	2267	0	494.8	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	1699.20	0	0.5746	0	34.6946	0	27.833	0	1676.272	0	202.06	0	58.8	0	33.74	0	0.0072	0	0.0024	0	0.000314	1	-1E+10	1	1.07	1	7.8651	0	7.5781	0	2359	0	2269	0	504.7	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	1598.94	0	0.5914	0	34.6887	0	27.826	0	1577.738	0	203.46	0	59.2	0	33.55	0	0.0072	0	0.0024	0	0.000325	1	-1E+10	1	1.10	1	7.8695	0	7.5785	0	2359	0	2269	0	505.1	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	1499.32	0	0.8133	0	34.7119	0	27.831	0	1479.787	0	194.39	0	56.9	0	33.40	0	0.0000	0	0.0000	0	0.000260	1	-1E+10	1	0.93	1	7.8719	0	7.5801	0	2359	0	2268	0	508.8	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	1398.25	0	0.8524	0	34.7097	0	27.827	0	1380.364	0	195.20	0	57.2	0	33.42	0	0.0036	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1	7.8757	0	7.5803	0	2354	0	2263	0	508.9	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	1299.38	0	0.9709	0	34.7174	0	27.825	0	1283.059	0	191.35	0	56.3	0	33.14	0	0.0036	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.8786	0	7.5809	0	2358	0	2267	0	512.4	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	1199.16	0	1.0427	0	34.7198	0	27.822	0	1184.380	0	190.02	0	56.0	0	33.23	0	0.0072	0	0.0024	0	0.000228	1	-1E+10	1	0.85	1	7.8822	0	7.5814	0	2356	0	2265	0	513.7	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	1099.49	0	1.1177	0	34.7222	0	27.818	0	1086.196	0	188.66	0	55.7	0	33.09	0	0.0000	0	0.0000	0	0.000239	1	-1E+10	1	0.87	1	7.8849	0	7.5812	0	2351	0	2259	0	515.2	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	999.48	0	1.2264	0	34.7241	0	27.812	0	987.631	0	186.69	0	55.3	0	32.84	0	0.0072	0	0.0024	0	0.000261	1	-1E+10	1	0.93	1	7.8867	0	7.5806	0	2356	0	2265	0	520.5	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	950.92	0	1.2776	0	34.7253	0	27.809	0	939.755	0	185.67	0	55.0	0	33.00	0	0.0072	0	0.0024	0	0.000217	1	-1E+10	1	0.82	1	7.8808	0	7.5743	0	2355	0	2266	0	531.2	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	901.41	0	1.3105	0	34.7260	0	27.807	0	890.932	0	185.39	0	55.0	0	32.81	0	0.0072	0	0.0024	0	0.000239	1	-1E+10	1	0.87	1	7.8815	0	7.5735	0	2354	0	2266	0	533.2	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	851.33	0	1.4001	0	34.7274	0	27.802	0	841.535	0	184.11	0	54.7	0	32.65	0	0.0072	0	0.0024	0	0.000250	1	-1E+10	1	0.90	1	7.8830	0	7.5743	0	2352	0	2264	0	534.3	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	801.54	0	1.4610	0	34.7283	0	27.798	0	792.412	0	182.77	0	54.4	0	32.95	0	0.0000	0	0.0000	0	0.000261	1	-1E+10	1	0.93	1	7.8839	0	7.5742	0	2350	0	2262	0	535.8	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	751.71	0	1.5026	0	34.7284	0	27.795	0	743.238	0	182.36	0	54.4	0	32.74	0	0.0036	0	0.0012	0	0.000261	1	-1E+10	1	0.93	1	7.8848	0	7.5737	0	2349	0	2261	0	537.7	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	701.54	0	1.5677	0	34.7287	0	27.790	0	693.717	0	180.88	0	54.0	0	32.48	0	0.0072	0	0.0024	0	0.000250	1	-1E+10	1	0.90	1	7.8842	0	7.5722	0	2348	0	2260	0	541.6	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	651.36	0	1.6193	0	34.7280	0	27.786	0	644.174	0	179.92	0	53.8	0	32.59	0	0.0072	0	0.0024	0	0.000261	1	-1E+10	1	0.93	1	7.8845	0	7.5713	0	2349	0	2261	0	544.8	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	599.27	0	1.6706	0	34.7272	0	27.781	0	592.733	0	178.74	0	53.5	0	32.65	0	0.0072	0	0.0024	0	0.000370	1	-1E+10	1	1.22	1	7.8828	0	7.5686	0	2350	0	2263	0	550.9	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	551.30	0	1.7131	0	34.7239	0	27.775	0	545.349	0	177.32	0	53.1	0	32.74	0	0.0072	0	0.0024	0	0.000283	1	-1E+10	1	0.99	1	7.8806	0	7.5654	0	2353	0	2267	0	557.9	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	500.70	0	1.7896	0	34.7192	0	27.765	0	495.355	0	175.05	0	52.6	0	32.76	0	0.0036	0	0.0012	0	0.000251	1	-1E+10	1	0.91	1	7.8759	0	7.5604	0	2355	0	2271	0	568.6	0
5904660	1	C	01/07/2016	19:10	305.370	-60.623	0	451.04	0	1.8604	0	34.7128	0	27.755	0	446.279	0	172.93	0	52.0	0	32.83	0	0.0072	0	0.0024	0	0.000284	1	-1E+10	1	0.99	1	7.8701	0	7.5544	0	2354	0	2273	0	580.2	0
