//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:06
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904658
//Univ. of Washington ID: 9655
//MBARI ID: 9655SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 67 83 86 93 105 137 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 12 51 54 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6723	
//Temperature[°C]	Sbe41cp	6723	
//Salinity[pss]	Sbe41cp	6723	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1904	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0029 Spec#093154 Equitech Ti probe #20150209RR10.18 MBARI ARGO float#708  Durafet#91  CTD#6723	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	91	
//pH25C[Total]	Durafet	91	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1073	0.0000	0.0000
//Nitrate	1	1.0000	0.0383	0.0000
//Nitrate	2	1.0000	-0.8427	0.0000
//Nitrate	3	1.0000	-1.3746	0.0000
//Nitrate	4	1.0000	-1.7255	-2.7491
//Nitrate	32	1.0000	-4.3262	-1.2055
//Nitrate	41	1.0000	-4.6210	0.0000
//pH	1	1.0000	-0.0609	1.5128
//pH	3	1.0000	-0.0128	0.0195
//pH	31	1.0000	0.0021	-0.0071
//pH	59	1.0000	-0.0038	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	1798.25	0	1.0750	0	34.7156	0	27.819	0	1773.951	0	195.47	0	57.6	0	33.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8692	0	7.5923	0	2359	0	2264	0	496.0	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	1699.36	0	1.1580	0	34.7185	0	27.815	0	1676.788	0	193.04	0	57.0	0	32.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8714	0	7.5917	0	2360	0	2264	0	499.4	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	1598.68	0	1.2559	0	34.7226	0	27.812	0	1577.820	0	190.75	0	56.5	0	32.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8754	0	7.5930	0	2359	0	2264	0	500.5	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	1499.74	0	1.3588	0	34.7235	0	27.805	0	1480.517	0	188.44	0	56.0	0	32.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8764	0	7.5917	0	2359	0	2264	0	505.2	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	1399.15	0	1.4130	0	34.7237	0	27.801	0	1381.545	0	187.15	0	55.7	0	32.44	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8801	0	7.5921	0	2353	0	2258	0	505.5	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	1299.51	0	1.5004	0	34.7237	0	27.794	0	1283.462	0	185.06	0	55.2	0	32.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8816	0	7.5910	0	2356	0	2261	0	510.3	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	1199.59	0	1.6143	0	34.7236	0	27.785	0	1185.057	0	182.32	0	54.5	0	32.42	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8811	0	7.5885	0	2354	0	2260	0	516.8	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	1099.16	0	1.6901	0	34.7219	0	27.778	0	1086.103	0	180.46	0	54.0	0	32.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8835	0	7.5880	0	2348	0	2255	0	518.8	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	999.60	0	1.7948	0	34.7182	0	27.766	0	987.960	0	178.30	0	53.5	0	32.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8849	0	7.5870	0	2352	0	2259	0	524.2	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	951.60	0	1.8269	0	34.7164	0	27.762	0	940.627	0	177.90	0	53.5	0	32.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8766	0	7.5782	0	2352	0	2262	0	538.3	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	900.58	0	1.8826	0	34.7136	0	27.756	0	890.303	0	176.52	0	53.1	0	32.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8780	0	7.5784	0	2350	0	2260	0	539.4	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	851.09	0	1.9221	0	34.7104	0	27.750	0	841.478	0	175.58	0	52.9	0	32.36	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8783	0	7.5774	0	2349	0	2259	0	542.0	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	801.63	0	1.9408	0	34.7083	0	27.746	0	792.670	0	175.11	0	52.8	0	32.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8780	0	7.5756	0	2347	0	2258	0	545.1	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	751.03	0	1.9815	0	34.7023	0	27.738	0	742.725	0	174.07	0	52.5	0	32.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8785	0	7.5747	0	2346	0	2257	0	547.6	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	701.66	0	1.9958	0	34.6939	0	27.730	0	693.983	0	173.25	0	52.3	0	32.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8754	0	7.5704	0	2344	0	2257	0	554.4	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	651.76	0	2.0324	0	34.6814	0	27.717	0	644.707	0	171.65	0	51.8	0	32.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8724	0	7.5663	0	2340	0	2255	0	561.2	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	601.30	0	2.0677	0	34.6649	0	27.701	0	594.865	0	170.07	0	51.4	0	33.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8682	0	7.5612	0	2342	0	2258	0	570.9	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	551.10	0	2.1240	0	34.6534	0	27.687	0	545.268	0	168.42	0	51.0	0	33.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8653	0	7.5575	0	2343	0	2261	0	579.1	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	501.72	0	2.1623	0	34.6249	0	27.661	0	496.469	0	167.90	0	50.8	0	33.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8609	0	7.5522	0	2343	0	2263	0	589.1	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	451.65	0	2.1068	0	34.5855	0	27.633	0	446.977	0	169.54	0	51.3	0	34.08	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8583	0	7.5473	0	2341	0	2262	0	595.6	0
5904658	1	C	01/09/2016	08:46	303.497	-57.987	0	400.59	0	2.1637	0	34.5575	0	27.606	0	396.494	0	168.90	0	51.1	0	34.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8510	0	7.5397	0	2339	0	2263	0	609.8	0
