//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:12
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904659
//Univ. of Washington ID: 9657
//MBARI ID: 9657SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 12 23 24 65 75 95 122 127 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 8 40 44 77 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6724	
//Temperature[°C]	Sbe41cp	6724	
//Salinity[pss]	Sbe41cp	6724	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2162	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0016 Spec#093153 Equitech Ti probe #20150209RR10.14 MBARI ARGO float#707  Durafet#88  CTD#6724	
//Chl_a[mg/m^3]	FLBBAP2	3808	
//Chl_a_corr[mg/m^3]	FLBBAP2	3808	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3808	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3808	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	89	
//pH25C[Total]	Durafet	89	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1153	0.0000	-0.0046
//Oxygen	150	1.0961	0.0000	0.0000
//Nitrate	1	1.0000	-3.3595	-49.4071
//Nitrate	3	1.0000	-5.3373	-0.5082
//Nitrate	39	1.0000	-6.2550	-0.4782
//Nitrate	109	1.0000	-8.7783	0.2462
//Nitrate	152	1.0000	-8.5157	0.0000
//pH	1	1.0000	-0.0680	0.7688
//pH	3	1.0000	-0.0374	0.0000
//pH	33	1.0000	-0.0452	0.0074
//pH	105	1.0000	-0.0290	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	1796.35	0	0.8507	0	34.7038	0	27.824	0	1771.846	0	201.73	0	59.1	0	34.10	0	0.0037	0	0.0012	0	0.000231	1	-1E+10	1	0.86	1	7.8737	0	7.5932	0	2360	0	2264	0	490.0	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	1697.71	0	0.9291	0	34.7064	0	27.820	0	1674.940	0	198.86	0	58.4	0	33.93	0	0.0073	0	0.0024	0	0.000243	1	-1E+10	1	0.88	1	7.8756	0	7.5923	0	2360	0	2264	0	493.5	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	1598.92	0	1.0383	0	34.7129	0	27.818	0	1577.843	0	196.20	0	57.8	0	33.69	0	0.0073	0	0.0024	0	0.000232	1	-1E+10	1	0.86	1	7.8797	0	7.5939	0	2360	0	2264	0	494.6	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	1499.08	0	1.0531	0	34.7111	0	27.815	0	1479.668	0	195.92	0	57.7	0	33.51	0	0.0073	0	0.0024	0	0.000254	1	-1E+10	1	0.91	1	7.8826	0	7.5929	0	2358	0	2263	0	496.6	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	1398.81	0	1.1620	0	34.7158	0	27.812	0	1381.024	0	194.34	0	57.4	0	33.28	0	0.0037	0	0.0012	0	0.000232	1	-1E+10	1	0.86	1	7.8868	0	7.5946	0	2353	0	2257	0	496.4	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	1299.01	0	1.2571	0	34.7197	0	27.808	0	1282.796	0	191.77	0	56.8	0	33.15	0	0.0037	0	0.0012	0	0.000232	1	-1E+10	1	0.86	1	7.8892	0	7.5943	0	2357	0	2261	0	500.3	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	1199.34	0	1.3715	0	34.7214	0	27.801	0	1184.651	0	190.26	0	56.5	0	33.13	0	0.0037	0	0.0012	0	0.000342	1	-1E+10	1	1.14	1	7.8913	0	7.5942	0	2355	0	2259	0	503.3	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	1097.61	0	1.4705	0	34.7245	0	27.796	0	1084.429	0	188.31	0	56.1	0	32.85	0	0.0037	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8928	0	7.5932	0	2349	0	2254	0	506.6	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	999.26	0	1.5067	0	34.7191	0	27.788	0	987.492	0	188.06	0	56.1	0	32.82	0	0.0037	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8958	0	7.5928	0	2354	0	2258	0	509.8	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	951.21	0	1.5437	0	34.7177	0	27.784	0	940.115	0	186.62	0	55.7	0	32.90	0	0.0109	0	0.0037	0	0.000441	1	-1E+10	1	1.40	1	7.8896	0	7.5860	0	2353	0	2260	0	520.4	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	901.67	0	1.6028	0	34.7177	0	27.780	0	891.258	0	186.06	0	55.6	0	32.81	0	0.0109	0	0.0037	0	0.000277	1	-1E+10	1	0.97	1	7.8871	0	7.5827	0	2351	0	2259	0	526.7	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	851.70	0	1.6602	0	34.7165	0	27.774	0	841.966	0	184.72	0	55.3	0	32.74	0	0.0073	0	0.0024	0	0.000255	1	-1E+10	1	0.92	1	7.8886	0	7.5831	0	2349	0	2257	0	527.3	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	801.51	0	1.7137	0	34.7158	0	27.770	0	792.445	0	183.43	0	55.0	0	32.89	0	0.0073	0	0.0024	0	0.000299	1	-1E+10	1	1.03	1	7.8868	0	7.5803	0	2347	0	2256	0	532.6	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	751.26	0	1.7617	0	34.7057	0	27.758	0	742.852	0	182.57	0	54.8	0	33.02	0	0.0037	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1	7.8847	0	7.5772	0	2345	0	2256	0	538.3	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	701.66	0	1.8499	0	34.7026	0	27.748	0	693.890	0	180.04	0	54.1	0	32.94	0	0.0073	0	0.0024	0	0.000266	1	-1E+10	1	0.95	1	7.8789	0	7.5714	0	2344	0	2256	0	549.3	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	651.36	0	1.9448	0	34.6964	0	27.736	0	644.225	0	177.61	0	53.5	0	33.08	0	0.0037	0	0.0012	0	0.000245	1	-1E+10	1	0.89	1	7.8770	0	7.5692	0	2344	0	2258	0	555.5	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	601.71	0	2.0112	0	34.6938	0	27.728	0	595.189	0	175.53	0	53.0	0	33.27	0	0.0109	0	0.0037	0	0.000267	1	-1E+10	1	0.95	1	7.8753	0	7.5667	0	2345	0	2260	0	561.7	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	551.22	0	2.0526	0	34.6830	0	27.716	0	545.313	0	173.87	0	52.5	0	33.54	0	0.0109	0	0.0037	0	0.000256	1	-1E+10	1	0.92	1	7.8715	0	7.5620	0	2347	0	2263	0	571.0	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	501.50	0	2.0598	0	34.6696	0	27.705	0	496.185	0	172.98	0	52.3	0	33.71	0	0.0073	0	0.0024	0	0.000256	1	-1E+10	1	0.92	1	7.8684	0	7.5575	0	2349	0	2267	0	579.2	0
5904659	1	C	01/08/2016	08:56	304.620	-59.635	0	451.58	0	2.0759	0	34.6552	0	27.691	0	446.848	0	171.94	0	52.0	0	33.90	0	0.0073	0	0.0024	0	0.000300	1	-1E+10	1	1.03	1	7.8648	0	7.5527	0	2348	0	2267	0	587.6	0
