//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:22
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904761
//Univ. of Washington ID: 9660
//MBARI ID: 9660SOOCN
//Missing Float profile(s) for station(s): 122 123 124 125 127 128 129 130 131 132 133 135 136 137 138 141 142 
//Missing Float position interpolated for station(s): 126 134 140 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 126 134 139 140 143 
//
//SPECIAL NOTICE:
//The pH sensor on this float is not in the pumped flow path and is exposed to ambient light.
//Unfortunately light affects the sensor response. To correct this bias in the *QC.TXT file,
//daylight samples less than 50 meters deep were corrected using diagnostic data returned from the pH sensor:
//pH_new = pH_old + (Ib - Ibo) * 1.488e6.
//Ib = base current, Ibo = median base current between 70-120 meters.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7186	
//Temperature[°C]	Sbe41cp	7186	
//Salinity[pss]	Sbe41cp	7186	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1863	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0042 Spec#098661 Equitech Ti probe #20150209RR10.22  MBARI ARGO float#725  DF#108  CTD#7186	
//Chl_a[mg/m^3]	FLBBAP2	3807	
//Chl_a_corr[mg/m^3]	FLBBAP2	3807	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3807	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3807	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	108	
//pH25C[Total]	Durafet	108	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0696	0.0000	0.0000
//Nitrate	1	1.0000	1.1651	-1.7317
//Nitrate	41	1.0000	-1.6536	50.2785
//Nitrate	44	1.0000	-0.7726	-0.6561
//Nitrate	79	1.0000	-1.7411	1.0772
//Nitrate	121	1.0000	-0.3368	0.0000
//pH	1	1.0000	-0.0377	1.1992
//pH	3	1.0000	0.0030	0.0000
//pH	27	1.0000	-0.0028	0.0581
//pH	41	1.0000	0.0169	-0.0223
//pH	58	1.0000	0.0046	0.0083
//pH	92	1.0000	0.0136	0.0782
//pH	99	1.0000	0.0285	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1997.39	0	2.3355	0	34.6677	0	27.690	0	1970.514	0	179.88	0	54.7	0	32.84	0	0.0073	0	0.0024	0	0.000266	1	-1E+10	1	0.94	1	7.8420	0	7.5926	0	2347	0	2252	0	519.6	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1897.97	0	2.3872	0	34.6492	0	27.670	0	1872.869	0	177.26	0	54.0	0	33.17	0	0.0073	0	0.0024	0	0.000266	1	-1E+10	1	0.94	1	7.8384	0	7.5865	0	2346	0	2253	0	530.2	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1798.37	0	2.4586	0	34.6245	0	27.644	0	1775.001	0	175.82	0	53.6	0	33.42	0	0.0109	0	0.0037	0	0.000255	1	-1E+10	1	0.92	1	7.8357	0	7.5814	0	2342	0	2251	0	539.5	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1698.64	0	2.5294	0	34.5985	0	27.616	0	1676.961	0	174.49	0	53.3	0	33.82	0	0.0073	0	0.0024	0	0.000277	1	-1E+10	1	0.97	1	7.8347	0	7.5778	0	2340	0	2250	0	546.8	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1599.44	0	2.6027	0	34.5703	0	27.587	0	1579.397	0	175.02	0	53.6	0	33.88	0	0.0109	0	0.0037	0	0.000277	1	-1E+10	1	0.97	1	7.8339	0	7.5745	0	2338	0	2250	0	554.1	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1498.25	0	2.7317	0	34.5297	0	27.543	0	1479.828	0	176.67	0	54.2	0	34.11	0	0.0109	0	0.0037	0	0.000300	1	-1E+10	1	1.03	1	7.8335	0	7.5722	0	2335	0	2248	0	561.0	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1399.11	0	2.8424	0	34.4963	0	27.506	0	1382.232	0	178.91	0	55.0	0	34.02	0	0.0073	0	0.0024	0	0.000289	1	-1E+10	1	1.00	1	7.8370	0	7.5733	0	2329	0	2242	0	561.5	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1299.16	0	3.0161	0	34.4543	0	27.456	0	1283.791	0	183.54	0	56.7	0	33.81	0	0.0073	0	0.0024	0	0.000366	1	-1E+10	1	1.20	1	7.8428	0	7.5772	0	2325	0	2237	0	559.7	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1199.90	0	3.2063	0	34.4111	0	27.404	0	1185.985	0	189.98	0	58.9	0	33.37	0	0.0073	0	0.0024	0	0.000312	1	-1E+10	1	1.06	1	7.8522	0	7.5848	0	2321	0	2230	0	552.6	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	1100.02	0	3.4137	0	34.3699	0	27.351	0	1087.522	0	196.82	0	61.4	0	32.82	0	0.0037	0	0.0012	0	0.000345	1	-1E+10	1	1.15	1	7.8600	0	7.5911	0	2313	0	2221	0	547.2	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	999.49	0	3.7679	0	34.3290	0	27.283	0	988.371	0	206.20	0	64.8	0	31.68	0	0.0037	0	0.0012	0	0.000324	1	-1E+10	1	1.10	1	7.8732	0	7.6044	0	2305	0	2208	0	534.8	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	951.23	0	3.9861	0	34.3201	0	27.254	0	940.756	0	209.36	0	66.1	0	31.20	0	0.0073	0	0.0024	0	0.000314	1	-1E+10	1	1.07	1	7.8820	0	7.6137	0	2302	0	2202	0	526.0	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	901.46	0	4.1816	0	34.3119	0	27.227	0	891.640	0	211.45	0	67.1	0	30.68	0	0.0037	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	7.8875	0	7.6197	0	2300	0	2197	0	521.9	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	851.77	0	4.5088	0	34.3055	0	27.187	0	842.591	0	215.08	0	68.8	0	29.74	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.8958	0	7.6301	0	2296	0	2190	0	514.1	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	801.09	0	4.5860	0	34.2764	0	27.155	0	792.553	0	223.67	0	71.7	0	29.15	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.9049	0	7.6377	0	2290	0	2181	0	504.2	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	751.34	0	5.0000	0	34.2905	0	27.120	0	743.422	0	222.26	0	71.9	0	28.16	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1	7.9116	0	7.6480	0	2290	0	2178	0	499.7	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	701.30	0	5.2227	0	34.2747	0	27.081	0	693.993	0	231.32	0	75.2	0	27.04	0	0.0073	0	0.0024	0	0.000316	1	-1E+10	1	1.07	1	7.9260	0	7.6628	0	2287	0	2169	0	484.3	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	651.68	0	5.5475	0	34.2760	0	27.043	0	644.966	0	238.78	0	78.3	0	25.72	0	0.0037	0	0.0012	0	0.000338	1	-1E+10	1	1.13	1	7.9410	0	7.6795	0	2284	0	2160	0	469.0	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	601.48	0	5.6187	0	34.2470	0	27.011	0	595.355	0	252.80	0	83.0	0	24.35	0	0.0037	0	0.0012	0	0.000328	1	-1E+10	1	1.10	1	7.9615	0	7.6979	0	2280	0	2149	0	447.1	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	551.13	0	5.8284	0	34.2499	0	26.987	0	545.584	0	260.35	0	85.9	0	23.49	0	0.0037	0	0.0012	0	0.000306	1	-1E+10	1	1.05	1	7.9701	0	7.7072	0	2279	0	2144	0	440.0	0
5904761	1	C	05/18/2016	05:46	190.089	-51.923	0	501.60	0	6.0089	0	34.2464	0	26.962	0	496.611	0	268.53	0	89.0	0	22.46	0	0.0037	0	0.0012	0	0.000339	1	-1E+10	1	1.13	1	7.9854	0	7.7224	0	2277	0	2136	0	425.4	0
