//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:27
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904657
//Univ. of Washington ID: 9662
//MBARI ID: 9662SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 46 131 159 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 58 86 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6721	
//Temperature[°C]	Sbe41cp	6721	
//Salinity[pss]	Sbe41cp	6721	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1902	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0037 Spec#076 Ti Equitech probe 20140616RR10.01 MBARI SOCCOM ARGO float#704	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	85	
//pH25C[Total]	Durafet	85	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1448	0.0000	-0.0034
//Oxygen	159	1.1294	0.0000	0.0000
//Nitrate	1	1.0000	-0.6607	-52.8556
//Nitrate	3	1.0000	-2.4142	-0.4188
//Nitrate	47	1.0000	-3.0290	-10.1162
//Nitrate	58	1.0000	-4.3568	3.1558
//Nitrate	72	1.0000	-3.8511	0.0000
//Nitrate	159	1.0000	-3.7921	0.0000
//pH	1	1.0000	-0.1302	0.0000
//pH	2	1.0000	-0.1196	-0.4431
//pH	4	1.0000	-0.1445	0.0342
//pH	52	1.0000	-0.1011	-0.5271
//pH	54	1.0000	-0.0990	0.0000
//pH	92	1.0000	-0.0982	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	1799.26	0	1.6652	0	34.7136	0	27.777	0	1775.168	0	184.61	0	55.3	0	32.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8634	0	7.5953	0	2357	0	2260	0	504.3	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	1699.06	0	1.7303	0	34.7164	0	27.774	0	1676.705	0	182.57	0	54.7	0	32.36	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8634	0	7.5925	0	2357	0	2261	0	510.4	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	1599.20	0	1.8044	0	34.7135	0	27.765	0	1578.531	0	180.69	0	54.3	0	32.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8610	0	7.5877	0	2356	0	2262	0	519.6	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	1499.93	0	1.9197	0	34.7074	0	27.751	0	1480.891	0	178.71	0	53.8	0	32.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8609	0	7.5856	0	2354	0	2262	0	525.7	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	1399.71	0	1.9951	0	34.7009	0	27.739	0	1382.271	0	176.66	0	53.3	0	32.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8569	0	7.5794	0	2349	0	2259	0	536.3	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	1299.92	0	2.0862	0	34.6866	0	27.720	0	1284.028	0	173.70	0	52.5	0	32.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8488	0	7.5697	0	2349	0	2262	0	553.9	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	1198.08	0	2.1531	0	34.6668	0	27.699	0	1183.719	0	171.10	0	51.8	0	33.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8420	0	7.5609	0	2345	0	2261	0	569.3	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	1098.86	0	2.2095	0	34.6472	0	27.678	0	1085.945	0	169.29	0	51.3	0	33.44	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8371	0	7.5536	0	2339	0	2258	0	581.6	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	998.93	0	2.2644	0	34.6203	0	27.651	0	987.424	0	167.74	0	50.9	0	33.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8310	0	7.5452	0	2339	0	2261	0	597.7	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	950.77	0	2.2859	0	34.6072	0	27.639	0	939.927	0	167.40	0	50.8	0	34.29	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8256	0	7.5390	0	2339	0	2264	0	609.3	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	901.39	0	2.2976	0	34.5996	0	27.631	0	891.215	0	167.23	0	50.8	0	34.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8224	0	7.5345	0	2338	0	2264	0	617.3	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	851.03	0	2.3512	0	34.5612	0	27.596	0	841.525	0	167.61	0	51.0	0	34.44	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8188	0	7.5301	0	2333	0	2261	0	625.7	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	801.17	0	2.4111	0	34.5390	0	27.573	0	792.316	0	168.11	0	51.2	0	34.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8181	0	7.5285	0	2331	0	2260	0	630.2	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	751.19	0	2.4536	0	34.5148	0	27.550	0	742.978	0	169.70	0	51.7	0	34.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8159	0	7.5253	0	2329	0	2259	0	636.7	0
5904657	1	C	01/10/2016	05:12	302.804	-56.480	0	701.01	0	2.4704	0	34.4892	0	27.528	0	693.430	0	172.13	0	52.5	0	34.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8177	0	7.5253	0	2326	0	2256	0	637.0	0
