//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:33
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904662
//Univ. of Washington ID: 9666
//MBARI ID: 9666SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 2 3 4 5 6 7 9 11 12 13 14 15 16 17 18 19 20 21 24 25 26 27 28 29 35 42 43 45 50 51 54 57 61 63 64 65 74 75 76 77 78 79 80 81 82 83 84 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6726	
//Temperature[°C]	Sbe41cp	6726	
//Salinity[pss]	Sbe41cp	6726	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1908	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0024 Spec#077 (090062) APEX Ti Equitech probe 20140616RR10.05 MBARI ARGO float#701	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	84	
//pH25C[Total]	Durafet	84	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1017	0.0000	-0.0105
//Oxygen	84	1.0779	0.0000	0.0000
//Nitrate	1	1.0000	-2.2415	-5.0783
//Nitrate	39	1.0000	-6.9262	-1.4743
//Nitrate	73	1.0000	-8.3000	1.4682
//Nitrate	84	1.0000	-7.5682	0.0000
//pH	1	1.0000	-0.1002	0.5146
//pH	10	1.0000	-0.0351	-0.0278
//pH	73	1.0000	-0.0778	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	1799.40	0	2.4424	0	34.6107	0	27.634	0	1775.646	0	166.40	0	50.7	0	34.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8077	0	7.5561	0	2344	0	2262	0	577.9	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	1699.50	0	2.5254	0	34.5820	0	27.604	0	1677.459	0	167.46	0	51.2	0	34.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8067	0	7.5528	0	2339	0	2259	0	585.1	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	1598.56	0	2.5883	0	34.5470	0	27.570	0	1578.204	0	169.24	0	51.8	0	34.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8096	0	7.5525	0	2335	0	2255	0	587.0	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	1499.05	0	2.6996	0	34.5086	0	27.529	0	1480.309	0	171.42	0	52.6	0	34.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8141	0	7.5545	0	2331	0	2250	0	586.6	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	1399.96	0	2.8574	0	34.4646	0	27.479	0	1382.782	0	173.18	0	53.3	0	34.83	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8165	0	7.5552	0	2326	0	2246	0	589.3	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	1298.84	0	3.0020	0	34.4201	0	27.430	0	1283.210	0	179.39	0	55.4	0	34.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8268	0	7.5628	0	2320	0	2237	0	580.1	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	1198.40	0	3.1820	0	34.3824	0	27.383	0	1184.261	0	186.39	0	57.8	0	33.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8382	0	7.5718	0	2313	0	2228	0	569.7	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	1099.46	0	3.4234	0	34.3419	0	27.328	0	1086.744	0	194.16	0	60.5	0	33.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8530	0	7.5850	0	2306	0	2216	0	554.3	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	999.68	0	3.7488	0	34.2953	0	27.258	0	988.353	0	206.49	0	64.9	0	31.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8722	0	7.6032	0	2297	0	2201	0	533.6	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	951.16	0	3.9297	0	34.2828	0	27.230	0	940.492	0	210.25	0	66.3	0	31.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8813	0	7.6123	0	2294	0	2195	0	524.2	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	901.68	0	4.1204	0	34.2641	0	27.195	0	891.672	0	216.07	0	68.5	0	30.75	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8921	0	7.6231	0	2290	0	2187	0	512.8	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	851.60	0	4.3077	0	34.2496	0	27.164	0	842.249	0	222.19	0	70.7	0	29.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9026	0	7.6336	0	2287	0	2180	0	502.1	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	800.61	0	4.4852	0	34.2412	0	27.138	0	791.915	0	226.75	0	72.5	0	29.29	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9115	0	7.6424	0	2285	0	2175	0	494.0	0
5904662	1	C	12/29/2015	05:15	270.747	-54.262	0	751.61	0	4.5638	0	34.2192	0	27.112	0	743.535	0	235.02	0	75.2	0	28.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9245	0	7.6538	0	2283	0	2169	0	480.4	0
