//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904663
//Univ. of Washington ID: 9668
//MBARI ID: 9668SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 68 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 169 
//Missing Float data detected for adjusted station(s): 59 62 64 66 68 69 70 80 98 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6725	
//Temperature[°C]	Sbe41cp	6725	
//Salinity[pss]	Sbe41cp	6725	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2160	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0006 Spec#093155 Equitech Ti probe #20150209RR10.08  MBARI ARGO float#709  Durafet#92  CTD#6725	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	92	
//pH25C[Total]	Durafet	92	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0583	0.0000	0.0000
//Nitrate	1	1.0000	1.1807	-38.3042
//Nitrate	3	1.0000	-0.1947	-0.4911
//Nitrate	90	1.0000	-1.3246	0.0000
//Nitrate	162	1.0000	-1.3839	0.0000
//pH	1	1.0000	-0.0808	1.4632
//pH	3	1.0000	-0.0300	0.0553
//pH	18	1.0000	-0.0143	0.0111
//pH	35	1.0000	-0.0105	-0.0300
//pH	70	1.0000	-0.0391	-0.0273
//pH	102	1.0000	-0.0670	-0.1471
//pH	107	1.0000	-0.0849	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	1798.66	0	2.4100	0	34.6109	0	27.637	0	1775.064	0	155.08	0	47.2	0	35.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8013	0	7.5500	0	2355	0	2275	0	589.0	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	1699.31	0	2.5106	0	34.5875	0	27.609	0	1677.410	0	153.46	0	46.9	0	35.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7964	0	7.5433	0	2350	0	2273	0	602.3	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	1599.05	0	2.5879	0	34.5662	0	27.585	0	1578.815	0	154.37	0	47.2	0	35.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7966	0	7.5409	0	2345	0	2269	0	608.2	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	1498.62	0	2.6938	0	34.5369	0	27.552	0	1480.007	0	154.75	0	47.5	0	35.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7961	0	7.5383	0	2341	0	2266	0	615.2	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	1399.08	0	2.7914	0	34.5033	0	27.516	0	1382.029	0	158.10	0	48.6	0	35.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7994	0	7.5389	0	2335	0	2260	0	616.0	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	1298.52	0	2.9086	0	34.4618	0	27.472	0	1283.000	0	166.44	0	51.3	0	34.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8105	0	7.5468	0	2326	0	2249	0	604.5	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	1199.29	0	3.0322	0	34.4223	0	27.429	0	1185.236	0	174.80	0	54.0	0	34.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8215	0	7.5547	0	2319	0	2239	0	593.7	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	1098.99	0	3.2913	0	34.3700	0	27.363	0	1086.370	0	184.05	0	57.2	0	33.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8355	0	7.5673	0	2310	0	2226	0	578.9	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	999.21	0	3.5328	0	34.3343	0	27.311	0	987.971	0	192.23	0	60.1	0	32.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8463	0	7.5767	0	2303	0	2216	0	569.1	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	951.42	0	3.6438	0	34.3181	0	27.287	0	940.826	0	196.80	0	61.7	0	32.54	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8432	0	7.5737	0	2300	0	2214	0	576.3	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	900.95	0	3.8324	0	34.2972	0	27.251	0	891.025	0	202.02	0	63.6	0	31.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8526	0	7.5830	0	2296	0	2207	0	565.9	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	851.28	0	4.0260	0	34.2753	0	27.214	0	842.002	0	209.37	0	66.2	0	31.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8628	0	7.5932	0	2292	0	2199	0	554.4	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	801.58	0	4.1683	0	34.2589	0	27.186	0	792.938	0	215.70	0	68.4	0	30.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8725	0	7.6022	0	2289	0	2193	0	544.0	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	750.79	0	4.3461	0	34.2371	0	27.149	0	742.786	0	224.53	0	71.5	0	29.34	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8875	0	7.6166	0	2286	0	2185	0	526.8	0
5904663	1	C	12/09/2015	13:40	279.704	-53.328	0	700.91	0	4.5131	0	34.2162	0	27.114	0	693.521	0	235.46	0	75.3	0	28.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9041	0	7.6324	0	2283	0	2177	0	508.0	0
