//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:43
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904678
//Univ. of Washington ID: 9744
//MBARI ID: 9744SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 115 161 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7175	
//Temperature[°C]	Sbe41cp	7175	
//Salinity[pss]	Sbe41cp	7175	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1900	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0022 Spec#098664 Equitech Ti probe #20150209RR10.24  MBARI ARGO float#728  DF#111  CTD#7175	
//Chl_a[mg/m^3]	FLBBAP2	3645	
//Chl_a_corr[mg/m^3]	FLBBAP2	3645	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3645	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3645	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	111	
//pH25C[Total]	Durafet	111	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0795	0.0000	-0.0016
//Oxygen	160	1.0728	0.0000	0.0000
//Nitrate	1	1.0000	-2.0383	1.1657
//Nitrate	35	1.0000	-1.6974	0.0000
//Nitrate	54	1.0000	-2.2765	41.6546
//Nitrate	57	1.0000	-1.7517	0.0000
//Nitrate	161	1.0000	-1.0731	0.0000
//pH	1	1.0000	0.0249	-1.7603
//pH	5	1.0000	0.0068	0.6432
//pH	8	1.0000	0.0095	-0.2802
//pH	11	1.0000	-0.0132	0.1252
//pH	16	1.0000	0.0025	-0.3013
//pH	19	1.0000	-0.0160	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1998.60	0	2.4691	0	34.6651	0	27.677	0	1971.697	0	177.07	0	54.0	0	33.54	0	0.0108	0	0.0036	0	0.000243	1	-1E+10	1	0.89	1	7.8320	0	7.5856	0	2338	0	2246	0	530.8	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1898.42	0	2.5424	0	34.6324	0	27.644	0	1873.306	0	174.54	0	53.4	0	33.94	0	0.0072	0	0.0024	0	0.000255	1	-1E+10	1	0.92	1	7.8236	0	7.5753	0	2335	0	2247	0	548.1	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1799.23	0	2.6354	0	34.5943	0	27.605	0	1775.842	0	171.75	0	52.6	0	34.29	0	0.0108	0	0.0036	0	0.000255	1	-1E+10	1	0.92	1	7.8215	0	7.5711	0	2332	0	2245	0	556.9	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1699.41	0	2.7182	0	34.5512	0	27.563	0	1677.714	0	172.71	0	53.0	0	34.68	0	0.0072	0	0.0024	0	0.000277	1	-1E+10	1	0.97	1	7.8175	0	7.5651	0	2329	0	2245	0	568.6	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1598.87	0	2.8150	0	34.5220	0	27.530	0	1578.832	0	172.63	0	53.1	0	34.81	0	0.0108	0	0.0036	0	0.000267	1	-1E+10	1	0.95	1	7.8198	0	7.5648	0	2329	0	2245	0	572.3	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1499.64	0	3.0224	0	34.4798	0	27.478	0	1481.193	0	173.99	0	53.8	0	34.72	0	0.0072	0	0.0024	0	0.000289	1	-1E+10	1	1.01	1	7.8239	0	7.5677	0	2326	0	2241	0	573.2	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1399.37	0	3.1939	0	34.4307	0	27.422	0	1382.484	0	180.74	0	56.1	0	34.34	0	0.0108	0	0.0036	0	0.000279	1	-1E+10	1	0.98	1	7.8293	0	7.5712	0	2321	0	2235	0	571.6	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1299.43	0	3.3672	0	34.3880	0	27.371	0	1284.054	0	188.45	0	58.7	0	33.84	0	0.0036	0	0.0012	0	0.000279	1	-1E+10	1	0.98	1	7.8365	0	7.5765	0	2315	0	2227	0	567.0	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1198.88	0	3.6098	0	34.3495	0	27.317	0	1184.977	0	196.51	0	61.5	0	32.95	0	0.0072	0	0.0024	0	0.000302	1	-1E+10	1	1.04	1	7.8488	0	7.5873	0	2307	0	2216	0	555.4	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	1098.62	0	4.2475	0	34.3647	0	27.264	0	1086.139	0	194.49	0	61.9	0	31.85	0	0.0072	0	0.0024	0	0.000270	1	-1E+10	1	0.95	1	7.8607	0	7.6033	0	2304	0	2207	0	546.5	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	999.59	0	4.7596	0	34.3553	0	27.201	0	988.467	0	199.62	0	64.3	0	30.56	0	0.0036	0	0.0012	0	0.000282	1	-1E+10	1	0.99	1	7.8713	0	7.6166	0	2300	0	2198	0	538.7	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	950.07	0	5.0757	0	34.3567	0	27.166	0	939.609	0	201.54	0	65.4	0	29.78	0	0.0000	0	0.0000	0	0.000282	1	-1E+10	1	0.99	1	7.8765	0	7.6240	0	2295	0	2191	0	534.6	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	901.59	0	5.3562	0	34.3531	0	27.130	0	891.766	0	205.09	0	67.0	0	29.06	0	0.0000	0	0.0000	0	0.000272	1	-1E+10	1	0.96	1	7.8821	0	7.6313	0	2292	0	2185	0	530.0	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	850.83	0	5.7851	0	34.3734	0	27.094	0	841.661	0	204.87	0	67.6	0	28.10	0	0.0036	0	0.0012	0	0.000250	1	-1E+10	1	0.90	1	7.8856	0	7.6388	0	2291	0	2181	0	529.1	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	800.66	0	6.1257	0	34.3961	0	27.069	0	792.127	0	203.35	0	67.6	0	27.26	0	0.0036	0	0.0012	0	0.000284	1	-1E+10	1	0.99	1	7.8929	0	7.6485	0	2290	0	2177	0	523.2	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	751.38	0	6.3705	0	34.3804	0	27.025	0	743.460	0	211.74	0	70.8	0	26.08	0	0.0000	0	0.0000	0	0.000273	1	-1E+10	1	0.96	1	7.9025	0	7.6591	0	2287	0	2170	0	513.4	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	701.64	0	6.8496	0	34.4091	0	26.983	0	694.327	0	215.69	0	72.9	0	24.72	0	0.0000	0	0.0000	0	0.000274	1	-1E+10	1	0.97	1	7.9125	0	7.6735	0	2286	0	2164	0	504.1	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	650.79	0	7.2743	0	34.4262	0	26.938	0	644.085	0	222.55	0	76.0	0	22.73	0	0.0000	0	0.0000	0	0.000330	1	-1E+10	1	1.11	1	7.9323	0	7.6962	0	2285	0	2154	0	482.7	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	601.22	0	7.4358	0	34.4159	0	26.906	0	595.097	0	235.71	0	80.8	0	21.52	0	-0.0036	0	-0.0012	0	0.000319	1	-1E+10	1	1.08	1	7.9483	0	7.7118	0	2283	0	2146	0	465.9	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	551.55	0	7.7645	0	34.4460	0	26.882	0	545.998	0	255.76	0	88.3	0	19.26	0	-0.0036	0	-0.0012	0	0.000275	1	-1E+10	1	0.97	1	7.9763	0	7.7413	0	2284	0	2135	0	436.7	0
5904678	1	C	04/07/2016	22:30	148.666	-51.952	0	501.45	0	8.1872	0	34.5124	0	26.871	0	496.462	0	265.49	0	92.6	0	17.37	0	-0.0036	0	-0.0012	0	0.000287	1	-1E+10	1	1.00	1	7.9900	0	7.7587	0	2287	0	2131	0	424.9	0
