//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 21:55
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904845
//Univ. of Washington ID: 9750
//MBARI ID: 9750SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7184	
//Temperature[°C]	Sbe41cp	7184	
//Salinity[pss]	Sbe41cp	7184	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1874	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C6.A01.0055  Spec#105022 Equitech Ti probe #1604.05  MBARI ARGO float#758  DF#152  CTD#7184	
//Chl_a[mg/m^3]	FLBBAP2	4218	
//Chl_a_corr[mg/m^3]	FLBBAP2	4218	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4218	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4218	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	152	
//pH25C[Total]	Durafet	152	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0515	0.0000	0.0000
//Nitrate	1	1.0000	0.9535	-53.2069
//Nitrate	3	1.0000	-0.7974	0.0000
//Nitrate	127	1.0000	-0.5473	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1999.03	0	1.9094	0	34.7183	0	27.764	0	1970.901	0	194.10	0	58.5	0	31.96	0	0.0073	0	0.0024	0	0.000212	1	-1E+10	1	0.80	1	-1e10	1	-1e10	1	2343	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1898.63	0	2.0008	0	34.7136	0	27.752	0	1872.354	0	187.02	0	56.4	0	31.73	0	0.0073	0	0.0024	0	0.000223	1	-1E+10	1	0.83	1	-1e10	1	-1e10	1	2347	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1798.98	0	2.0649	0	34.7033	0	27.738	0	1774.499	0	181.91	0	55.0	0	32.10	0	0.0073	0	0.0024	0	0.000235	1	-1E+10	1	0.86	1	-1e10	1	-1e10	1	2349	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1699.94	0	2.1227	0	34.6934	0	27.725	0	1677.198	0	178.92	0	54.2	0	32.30	0	0.0073	0	0.0024	0	0.000235	1	-1E+10	1	0.86	1	-1e10	1	-1e10	1	2348	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1599.16	0	2.1959	0	34.6813	0	27.709	0	1578.141	0	177.47	0	53.8	0	32.37	0	0.0073	0	0.0024	0	0.000247	1	-1E+10	1	0.89	1	-1e10	1	-1e10	1	2346	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1499.03	0	2.2641	0	34.6641	0	27.689	0	1479.677	0	175.93	0	53.4	0	32.75	0	0.0073	0	0.0024	0	0.000247	1	-1E+10	1	0.89	1	-1e10	1	-1e10	1	2344	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1400.07	0	2.3228	0	34.6401	0	27.665	0	1382.318	0	173.60	0	52.8	0	33.04	0	0.0109	0	0.0037	0	0.000258	1	-1E+10	1	0.92	1	-1e10	1	-1e10	1	2342	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1299.44	0	2.4024	0	34.6153	0	27.638	0	1283.270	0	171.60	0	52.3	0	33.29	0	0.0037	0	0.0012	0	0.000270	1	-1E+10	1	0.95	1	-1e10	1	-1e10	1	2339	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1199.10	0	2.4684	0	34.5832	0	27.606	0	1184.461	0	171.51	0	52.3	0	33.63	0	0.0073	0	0.0024	0	0.000293	1	-1E+10	1	1.01	1	-1e10	1	-1e10	1	2336	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	1099.31	0	2.5590	0	34.5454	0	27.568	0	1086.147	0	172.33	0	52.7	0	33.86	0	0.0109	0	0.0037	0	0.000282	1	-1E+10	1	0.99	1	-1e10	1	-1e10	1	2332	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	998.96	0	2.6480	0	34.4968	0	27.520	0	987.235	0	175.67	0	53.8	0	34.04	0	0.0109	0	0.0037	0	0.000293	1	-1E+10	1	1.02	1	-1e10	1	-1e10	1	2326	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	951.32	0	2.7336	0	34.4745	0	27.495	0	940.261	0	177.67	0	54.5	0	33.96	0	0.0073	0	0.0024	0	0.000282	1	-1E+10	1	0.99	1	-1e10	1	-1e10	1	2323	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	901.48	0	2.8040	0	34.4531	0	27.471	0	891.106	0	180.16	0	55.4	0	33.85	0	0.0073	0	0.0024	0	0.000294	1	-1E+10	1	1.02	1	-1e10	1	-1e10	1	2320	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	851.47	0	2.8410	0	34.4264	0	27.447	0	841.772	0	183.77	0	56.5	0	33.74	0	0.0109	0	0.0037	0	0.000339	1	-1E+10	1	1.14	1	-1e10	1	-1e10	1	2317	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	800.78	0	2.9635	0	34.3994	0	27.414	0	791.756	0	188.08	0	58.0	0	33.40	0	0.0073	0	0.0024	0	0.000283	1	-1E+10	1	0.99	1	-1e10	1	-1e10	1	2313	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	750.99	0	3.0117	0	34.3664	0	27.383	0	742.615	0	193.78	0	59.8	0	33.12	0	0.0073	0	0.0024	0	0.000317	1	-1E+10	1	1.08	1	-1e10	1	-1e10	1	2309	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	701.73	0	3.0222	0	34.3291	0	27.352	0	693.986	0	201.14	0	62.1	0	32.87	0	0.0073	0	0.0024	0	0.000340	1	-1E+10	1	1.14	1	-1e10	1	-1e10	1	2305	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	650.99	0	2.7002	0	34.2439	0	27.312	0	643.885	0	227.72	0	69.7	0	31.96	0	0.0037	0	0.0012	0	0.000521	1	-1E+10	1	1.61	1	-1e10	1	-1e10	1	2299	0	 -1e10	1	 -1e10	1
5904845	1	C	01/20/2017	15:40	257.063	-59.147	0	601.27	0	3.1068	0	34.2625	0	27.290	0	594.778	0	215.27	0	66.5	0	30.99	0	0.0109	0	0.0037	0	0.000601	1	-1E+10	1	1.82	1	-1e10	1	-1e10	1	2298	0	 -1e10	1	 -1e10	1
