//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:00
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904694
//Univ. of Washington ID: 9752
//MBARI ID: 9752SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 4 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7945	
//Temperature[°C]	Sbe41cp	7945	
//Salinity[pss]	Sbe41cp	7945	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1869	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0039 Spec#098672 Equitech Ti probe #20150209RR10.28  MBARI ARGO float#734  DF#129  CTD#7945	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	129	
//pH25C[Total]	Durafet	129	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0777	0.0000	0.0028
//Oxygen	148	1.0893	0.0000	0.0000
//Nitrate	1	1.0000	-0.7364	-6.5129
//Nitrate	7	1.0000	-1.7385	0.1366
//Nitrate	146	1.0000	-1.1134	0.0000
//pH	1	1.0000	0.0000	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1899.15	0	2.6040	0	34.5914	0	27.606	0	1876.394	0	156.99	0	48.1	0	35.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8472	8	7.5972	8	2366	0	2269	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1799.62	0	2.7388	0	34.5752	0	27.581	0	1778.472	0	158.88	0	48.8	0	35.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8405	8	7.5895	8	2359	0	2265	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1699.47	0	2.9002	0	34.5516	0	27.547	0	1679.895	0	161.94	0	49.9	0	34.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8354	8	7.5835	8	2350	0	2259	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1599.28	0	3.0948	0	34.5178	0	27.502	0	1581.233	0	166.36	0	51.5	0	34.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8333	8	7.5807	8	2340	0	2250	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1499.98	0	3.3484	0	34.4826	0	27.450	0	1483.401	0	171.18	0	53.3	0	34.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8347	8	7.5819	8	2329	0	2239	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1398.63	0	3.6463	0	34.4499	0	27.395	0	1383.503	0	177.02	0	55.5	0	33.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8420	8	7.5889	8	2318	0	2226	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1298.94	0	4.0986	0	34.4111	0	27.318	0	1285.195	0	184.72	0	58.6	0	32.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8518	8	7.6004	8	2307	0	2211	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1199.49	0	4.6413	0	34.3787	0	27.234	0	1187.078	0	193.52	0	62.1	0	31.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8654	8	7.6168	8	2296	0	2195	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	1099.39	0	5.0918	0	34.3569	0	27.166	0	1088.273	0	201.23	0	65.3	0	29.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8780	8	7.6311	8	2291	0	2185	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	999.01	0	5.6317	0	34.3462	0	27.093	0	989.144	0	210.80	0	69.3	0	28.29	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8961	8	7.6518	8	2286	0	2172	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	951.24	0	5.8367	0	34.3467	0	27.068	0	941.954	0	214.73	0	70.9	0	27.42	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8925	8	7.6496	8	2284	0	2171	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	901.08	0	6.0538	0	34.3502	0	27.043	0	892.390	0	218.62	0	72.6	0	26.72	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8999	8	7.6577	8	2284	0	2168	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	850.84	0	6.3646	0	34.3646	0	27.014	0	842.736	0	222.37	0	74.3	0	25.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9070	8	7.6669	8	2283	0	2164	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	801.15	0	6.6677	0	34.3789	0	26.985	0	793.613	0	226.14	0	76.1	0	24.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9122	8	7.6742	8	2282	0	2160	8	 -1e10	1
5904694	1	C	06/01/2016	12:37	188.550	-38.118	0	751.04	0	6.9993	0	34.4072	0	26.962	0	744.064	0	226.46	0	76.8	0	23.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9152	8	7.6799	8	2282	0	2158	8	 -1e10	1
