//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:05
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904679
//Univ. of Washington ID: 9757
//MBARI ID: 9757SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 4 5 6 7 8 16 28 31 36 47 83 92 96 146 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7180	
//Temperature[°C]	Sbe41cp	7180	
//Salinity[pss]	Sbe41cp	7180	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2166	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0011 Spec#098665 Equitech Ti probe #20150209RR10.03  MBARI ARGO float#729  DF#112  CTD#7180	
//Chl_a[mg/m^3]	FLBBAP2	3684	
//Chl_a_corr[mg/m^3]	FLBBAP2	3684	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3684	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3684	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	112	
//pH25C[Total]	Durafet	112	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0726	0.0000	0.0000
//Nitrate	1	1.0000	2.7574	-22.2347
//Nitrate	5	1.0000	0.6137	-1.1042
//Nitrate	41	1.0000	-0.4706	-0.1081
//Nitrate	146	1.0000	-0.8186	0.0000
//pH	1	1.0000	-0.0317	0.1044
//pH	15	1.0000	0.0195	-0.0230
//pH	35	1.0000	-0.0246	-0.2258
//pH	45	1.0000	-0.0956	0.0688
//pH	50	1.0000	-0.1040	0.0800
//pH	66	1.0000	-0.0889	0.0144
//pH	86	1.0000	-0.0731	-0.0345
//pH	109	1.0000	-0.0748	0.0000
//pH	146	1.0000	-0.0645	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1997.28	0	1.8555	0	34.7495	0	27.793	0	1970.790	0	199.42	0	60.0	0	29.91	0	0.0036	0	0.0012	0	0.000285	1	-1E+10	1	1.00	1	7.8795	0	7.6198	0	2352	0	2246	0	473.1	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1898.42	0	1.9585	0	34.7491	0	27.784	0	1873.676	0	197.35	0	59.5	0	30.07	0	0.0072	0	0.0024	0	0.000308	1	-1E+10	1	1.05	1	7.8779	0	7.6161	0	2350	0	2246	0	480.4	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1798.49	0	2.0108	0	34.7474	0	27.778	0	1775.466	0	196.33	0	59.3	0	30.12	0	0.0072	0	0.0024	0	0.000308	1	-1E+10	1	1.05	1	7.8790	0	7.6142	0	2349	0	2246	0	484.8	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1698.91	0	2.0713	0	34.7409	0	27.767	0	1677.554	0	193.77	0	58.6	0	30.52	0	0.0072	0	0.0024	0	0.000297	1	-1E+10	1	1.03	1	7.8758	0	7.6084	0	2348	0	2247	0	494.3	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1599.52	0	2.1179	0	34.7321	0	27.756	0	1579.783	0	191.32	0	57.9	0	30.83	0	0.0108	0	0.0036	0	0.000297	1	-1E+10	1	1.03	1	7.8698	0	7.6000	0	2347	0	2249	0	507.5	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1498.91	0	2.1486	0	34.7206	0	27.744	0	1480.767	0	188.28	0	57.0	0	31.23	0	0.0036	0	0.0012	0	0.000286	1	-1E+10	1	1.00	1	7.8641	0	7.5916	0	2346	0	2252	0	520.9	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1399.06	0	2.2033	0	34.7057	0	27.727	0	1382.452	0	185.00	0	56.1	0	31.78	0	0.0108	0	0.0036	0	0.000319	1	-1E+10	1	1.08	1	7.8558	0	7.5813	0	2345	0	2254	0	537.9	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1299.42	0	2.2514	0	34.6893	0	27.709	0	1284.298	0	182.03	0	55.3	0	32.27	0	0.0072	0	0.0024	0	0.000353	1	-1E+10	1	1.17	1	7.8512	0	7.5741	0	2344	0	2255	0	550.3	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1198.82	0	2.3274	0	34.6755	0	27.692	0	1185.152	0	180.55	0	54.9	0	32.55	0	0.0072	0	0.0024	0	0.000342	1	-1E+10	1	1.14	1	7.8488	0	7.5693	0	2343	0	2256	0	560.1	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	1096.49	0	2.3500	0	34.6519	0	27.670	0	1084.252	0	177.93	0	54.1	0	33.04	0	0.0072	0	0.0024	0	0.000420	1	-1E+10	1	1.34	1	7.8430	0	7.5607	0	2341	0	2258	0	574.7	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	999.46	0	2.3890	0	34.6167	0	27.638	0	988.534	0	175.59	0	53.5	0	33.83	0	0.0072	0	0.0024	0	0.000353	1	-1E+10	1	1.17	1	7.8358	0	7.5512	0	2338	0	2258	0	591.1	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	951.48	0	2.4144	0	34.6032	0	27.625	0	941.186	0	174.91	0	53.3	0	34.08	0	0.0108	0	0.0036	0	0.000375	1	-1E+10	1	1.23	1	7.8083	0	7.5253	0	2337	0	2266	0	636.2	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	901.59	0	2.3793	0	34.5775	0	27.607	0	891.942	0	174.26	0	53.0	0	34.67	0	0.0072	0	0.0024	0	0.000431	1	-1E+10	1	1.37	1	7.8036	0	7.5188	0	2335	0	2267	0	646.8	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	851.63	0	2.3940	0	34.5508	0	27.584	0	842.617	0	174.19	0	53.0	0	35.05	0	0.0072	0	0.0024	0	0.000376	1	-1E+10	1	1.23	1	7.8055	0	7.5188	0	2333	0	2265	0	647.1	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	801.44	0	2.4324	0	34.5353	0	27.568	0	793.054	0	174.78	0	53.2	0	35.28	0	0.0072	0	0.0024	0	0.000442	1	-1E+10	1	1.40	1	7.8051	0	7.5172	0	2331	0	2264	0	651.2	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	751.53	0	2.4319	0	34.5005	0	27.540	0	743.755	0	176.46	0	53.7	0	35.65	0	0.0072	0	0.0024	0	0.000431	1	-1E+10	1	1.37	1	7.8049	0	7.5152	0	2328	0	2261	0	654.4	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	701.39	0	2.4427	0	34.4692	0	27.514	0	694.217	0	179.14	0	54.6	0	35.87	0	0.0108	0	0.0036	0	0.000409	1	-1E+10	1	1.32	1	7.8070	0	7.5154	0	2325	0	2259	0	654.1	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	651.61	0	2.4584	0	34.4377	0	27.487	0	645.023	0	182.07	0	55.5	0	36.06	0	0.0036	0	0.0012	0	0.000442	1	-1E+10	1	1.40	1	7.8087	0	7.5153	0	2322	0	2256	0	654.5	0
5904679	1	C	01/19/2016	03:48	78.823	-49.765	0	601.51	0	2.4428	0	34.3983	0	27.457	0	595.501	0	187.30	0	57.0	0	36.11	0	0.0072	0	0.0024	0	0.000498	1	-1E+10	1	1.55	1	7.8140	0	7.5180	0	2319	0	2252	0	648.7	0
