//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:11
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904765
//Univ. of Washington ID: 9762
//MBARI ID: 9762SOOCN
//Missing Float profile(s) for station(s): 139 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 
//No position for station(s): 140 157 
//Missing Float data detected for adjusted station(s): 1 2 71 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 140 157 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5601	
//Temperature[°C]	Sbe41cp	5601	
//Salinity[pss]	Sbe41cp	5601	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1866	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0023 Spec#098660 Equitech Ti probe #20150209RR10.05  MBARI ARGO float#724  DF#107  CTD#5601	
//Chl_a[mg/m^3]	FLBBAP2	3804	
//Chl_a_corr[mg/m^3]	FLBBAP2	3804	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3804	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3804	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	107	
//pH25C[Total]	Durafet	107	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0822	0.0000	0.0000
//Nitrate	1	1.0000	-0.7760	-1.5370
//Nitrate	55	1.0000	-3.1913	0.0000
//Nitrate	138	1.0000	0.2704	0.0000
//pH	1	1.0000	-0.0093	-0.6941
//pH	7	1.0000	-0.1251	0.2280
//pH	10	1.0000	-0.1241	0.5130
//pH	14	1.0000	-0.0849	0.0344
//pH	37	1.0000	-0.0739	0.0110
//pH	74	1.0000	-0.0633	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1999.62	0	2.5612	0	34.6006	0	27.618	0	1973.652	0	174.39	0	53.3	0	34.05	0	0.0072	0	0.0024	0	0.000258	1	-1E+10	1	0.92	1	7.8281	0	7.5833	0	2339	0	2247	0	537.4	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1898.90	0	2.6749	0	34.5619	0	27.576	0	1874.683	0	174.81	0	53.6	0	34.25	0	0.0072	0	0.0024	0	0.000258	1	-1E+10	1	0.93	1	7.8246	0	7.5781	0	2333	0	2244	0	547.7	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1798.94	0	2.7763	0	34.5301	0	27.542	0	1776.415	0	176.09	0	54.1	0	34.47	0	0.0108	0	0.0036	0	0.000303	1	-1E+10	1	1.04	1	7.8263	0	7.5774	0	2332	0	2243	0	551.8	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1698.96	0	2.9096	0	34.4908	0	27.498	0	1678.082	0	179.40	0	55.3	0	34.39	0	0.0072	0	0.0024	0	0.000281	1	-1E+10	1	0.98	1	7.8270	0	7.5762	0	2328	0	2239	0	556.7	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1596.62	0	3.0508	0	34.4571	0	27.458	0	1577.380	0	183.14	0	56.6	0	34.21	0	0.0036	0	0.0012	0	0.000303	1	-1E+10	1	1.04	1	7.8322	0	7.5791	0	2322	0	2233	0	555.4	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1499.42	0	3.2585	0	34.4165	0	27.406	0	1481.692	0	188.89	0	58.7	0	33.69	0	0.0072	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.8393	0	7.5849	0	2318	0	2227	0	551.4	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1399.45	0	3.5715	0	34.3776	0	27.345	0	1383.231	0	195.68	0	61.2	0	33.01	0	0.0072	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.8490	0	7.5943	0	2313	0	2219	0	544.3	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1299.40	0	3.9250	0	34.3522	0	27.289	0	1284.645	0	201.20	0	63.5	0	32.15	0	0.0036	0	0.0012	0	0.000294	1	-1E+10	1	1.02	1	7.8603	0	7.6058	0	2304	0	2206	0	534.4	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1199.30	0	4.3858	0	34.3284	0	27.222	0	1185.963	0	208.28	0	66.4	0	30.81	0	0.0036	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.8718	0	7.6191	0	2285	0	2183	0	522.2	0
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	1099.64	0	5.0425	0	34.3314	8	27.151	8	1087.670	0	211.94	0	68.7	0	29.13	0	0.0036	0	0.0012	0	0.000296	1	-1E+10	1	1.02	1	7.8849	0	-1e10	1	2281	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	999.10	0	5.8413	0	34.3645	8	27.082	8	988.461	0	213.03	0	70.4	0	27.46	0	0.0000	0	0.0000	0	0.000276	1	-1E+10	1	0.97	1	7.9047	0	-1e10	1	2281	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	951.69	0	6.0708	0	34.3572	8	27.047	8	941.662	0	219.68	0	72.9	0	26.44	0	0.0036	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	7.9069	0	-1e10	1	2276	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	901.39	0	6.3050	0	34.3611	8	27.020	8	891.999	0	224.00	0	74.8	0	25.53	0	0.0036	0	0.0012	0	0.000276	1	-1E+10	1	0.97	1	7.9142	0	-1e10	1	2277	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	850.94	0	6.5380	0	34.3698	8	26.996	8	842.176	0	226.34	0	76.0	0	24.67	0	0.0000	0	0.0000	0	0.000266	1	-1E+10	1	0.94	1	7.9209	0	-1e10	1	2277	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	801.40	0	6.7853	0	34.3812	8	26.971	8	793.241	0	230.95	0	78.0	0	23.77	0	0.0000	0	0.0000	0	0.000288	1	-1E+10	1	1.00	1	7.9263	0	-1e10	1	2277	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	751.40	0	6.9898	0	34.3939	8	26.953	8	743.839	0	233.05	0	79.0	0	23.05	0	0.0000	0	0.0000	0	0.000288	1	-1E+10	1	1.00	1	7.9307	0	-1e10	1	2278	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	701.26	0	7.1448	0	34.4019	8	26.937	8	694.287	0	236.68	0	80.6	0	22.28	0	0.0000	0	0.0000	0	0.000278	1	-1E+10	1	0.98	1	7.9354	0	-1e10	1	2279	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	651.51	0	7.3761	0	34.4187	8	26.918	8	645.108	0	238.54	0	81.6	0	21.68	0	0.0036	0	0.0012	0	0.000289	1	-1E+10	1	1.00	1	7.9404	0	-1e10	1	2279	8	 -1e10	1	 -1e10	1
5904765	1	C	05/31/2016	20:00	188.459	-46.653	0	601.01	0	7.4657	0	34.4179	8	26.903	8	595.177	0	248.12	0	85.1	0	20.44	0	0.0036	0	0.0012	0	0.000300	1	-1E+10	1	1.03	1	7.9519	0	-1e10	1	2278	8	 -1e10	1	 -1e10	1
