//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 22:16
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904844
//Univ. of Washington ID: 9766
//MBARI ID: 9766SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 5 8 10 13 20 24 33 37 46 61 65 66 67 73 82 108 114 115 125 126 131 132 134 135 136 137 138 139 140 141 142 143 144 145 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7181	
//Temperature[°C]	Sbe41cp	7181	
//Salinity[pss]	Sbe41cp	7181	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2173	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0009 Spec#098668 Equitech Ti probe #20150209RR10.35  MBARI ARGO float#730  DF#113  CTD#7181	
//Chl_a[mg/m^3]	FLBBAP2	3800	
//Chl_a_corr[mg/m^3]	FLBBAP2	3800	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3800	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3800	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	113	
//pH25C[Total]	Durafet	113	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0541	0.0000	0.0000
//Nitrate	1	1.0000	2.3178	-30.9839
//Nitrate	3	1.0000	1.2438	0.1604
//Nitrate	129	1.0000	1.7579	0.0000
//pH	1	1.0000	0.0532	-0.4336
//pH	4	1.0000	0.0257	-0.0095
//pH	20	1.0000	0.0070	0.0372
//pH	36	1.0000	0.0210	-0.0891
//pH	47	1.0000	-0.0110	-0.6722
//pH	53	1.0000	-0.1071	0.0000
//pH	57	1.0000	-0.1267	0.6219
//pH	60	1.0000	-0.1031	0.1329
//pH	71	1.0000	-0.0648	0.0149
//pH	129	1.0000	-0.0450	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1999.81	0	2.0437	0	34.6410	0	27.691	0	1976.748	0	160.13	0	48.4	0	34.76	0	0.0180	0	0.0060	0	0.000222	1	-1E+10	1	0.83	1	7.8348	0	7.5821	0	2380	0	2288	0	534.2	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1899.01	0	2.1479	0	34.6287	0	27.673	0	1877.554	0	158.11	0	47.9	0	35.04	0	0.0108	0	0.0036	0	0.000200	1	-1E+10	1	0.77	1	7.8342	0	7.5793	0	2376	0	2285	0	540.6	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1799.44	0	2.2799	0	34.6106	0	27.647	0	1779.526	0	156.15	0	47.4	0	35.33	0	0.0144	0	0.0048	0	0.000211	1	-1E+10	1	0.80	1	7.8289	0	7.5727	0	2371	0	2282	0	553.5	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1699.16	0	2.4229	0	34.5900	0	27.618	0	1680.752	0	153.24	0	46.7	0	35.72	0	0.0144	0	0.0048	0	0.000223	1	-1E+10	1	0.83	1	7.8226	0	7.5654	0	2366	0	2280	0	568.1	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1599.25	0	2.5817	0	34.5727	0	27.591	0	1582.297	0	148.07	0	45.3	0	36.30	0	0.0144	0	0.0048	0	0.000223	1	-1E+10	1	0.83	1	7.8128	0	7.5552	0	2362	0	2280	0	588.5	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1498.68	0	2.7974	0	34.5493	0	27.553	0	1483.146	0	142.77	0	43.9	0	36.74	0	0.0072	0	0.0024	0	0.000258	1	-1E+10	1	0.92	1	7.8013	0	7.5442	0	2356	0	2278	0	611.9	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1399.53	0	3.0467	0	34.5305	0	27.515	0	1385.349	0	133.88	0	41.4	0	37.28	0	0.0144	0	0.0048	0	0.000247	1	-1E+10	1	0.90	1	7.7891	0	7.5331	0	2352	0	2278	0	637.9	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1298.54	0	3.2980	0	34.5093	0	27.475	0	1285.690	0	126.80	0	39.5	0	37.84	0	0.0144	0	0.0048	0	0.000236	1	-1E+10	1	0.87	1	7.7750	0	7.5203	0	2347	0	2278	0	667.7	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1199.38	0	3.5211	0	34.4718	0	27.423	0	1187.791	0	126.76	0	39.6	0	37.94	0	0.0144	0	0.0048	0	0.000282	1	-1E+10	1	0.99	1	7.7659	0	7.5115	0	2337	0	2271	0	688.9	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	1099.42	0	3.6980	0	34.4141	0	27.359	0	1089.056	0	140.30	0	44.1	0	36.97	0	0.0144	0	0.0048	0	0.000249	1	-1E+10	1	0.90	1	7.7731	0	7.5168	0	2322	0	2255	0	680.9	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	998.44	0	3.9922	0	34.3413	0	27.271	0	989.266	0	170.72	0	54.0	0	34.63	0	0.0180	0	0.0060	0	0.000261	1	-1E+10	1	0.93	1	7.8029	0	7.5438	0	2304	0	2229	0	636.4	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	951.13	0	4.1711	0	34.3168	0	27.233	0	942.497	0	181.27	0	57.5	0	33.51	0	0.0180	0	0.0060	0	0.000261	1	-1E+10	1	0.93	1	7.8293	0	7.5684	0	2298	0	2214	0	598.3	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	900.74	0	4.4259	0	34.2978	0	27.190	0	892.671	0	191.43	0	61.1	0	32.49	0	0.0072	0	0.0024	0	0.000250	1	-1E+10	1	0.90	1	7.8402	0	7.5800	0	2293	0	2205	0	585.2	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	851.69	0	4.7222	0	34.2859	0	27.148	0	844.160	0	195.55	0	62.9	0	31.71	0	0.0144	0	0.0048	0	0.000251	1	-1E+10	1	0.91	1	7.8448	0	7.5865	0	2289	0	2199	0	581.8	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	801.42	0	5.0583	0	34.2727	0	27.100	0	794.430	0	207.99	0	67.4	0	30.04	0	0.0036	0	0.0012	0	0.000274	1	-1E+10	1	0.97	1	7.8633	0	7.6063	0	2285	0	2188	0	558.5	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	750.99	0	5.2638	0	34.2671	0	27.071	0	744.529	0	215.87	0	70.3	0	29.02	0	0.0108	0	0.0036	0	0.000263	1	-1E+10	1	0.94	1	7.8750	0	7.6181	0	2282	0	2181	0	545.4	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	700.53	0	5.4820	0	34.2614	0	27.040	0	694.588	0	225.92	0	73.9	0	27.72	0	0.0108	0	0.0036	0	0.000263	1	-1E+10	1	0.94	1	7.8895	0	7.6327	0	2279	0	2173	0	528.8	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	651.11	0	5.7209	0	34.2658	0	27.014	0	645.663	0	232.74	0	76.6	0	26.68	0	0.0108	0	0.0036	0	0.000275	1	-1E+10	1	0.97	1	7.8977	0	7.6419	0	2277	0	2168	0	521.1	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	600.78	0	5.9797	0	34.2736	0	26.988	0	595.826	0	240.59	0	79.7	0	25.38	0	0.0036	0	0.0012	0	0.000253	1	-1E+10	1	0.91	1	7.9099	0	7.6550	0	2276	0	2162	0	508.5	0
5904844	1	C	01/05/2017	01:54	256.992	-30.009	0	551.71	0	6.2727	0	34.2883	0	26.962	0	547.225	0	239.54	0	79.9	0	24.77	0	0.0036	0	0.0012	0	0.000276	1	-1E+10	1	0.97	1	7.9073	0	7.6550	0	2276	0	2162	0	515.3	0
