#0
#<Encoding>UTF-8</Encoding>
#File updated on 12/21/2020 18:59
#!! ADJUSTED DATA FILE !!
#WMO ID: 5904469
#Univ. of Washington ID: 9096
#MBARI ID: 9096SOOCN
#No missing float profiles
#Missing Float position interpolated for station(s): 132 133 134 135 136 137 138 139 140 141 142 
#Latitude quality flag = 4 for interpolated float positions
#Missing Float data detected for adjusted station(s): 23 67 69 72 73 74 75 76 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 
#
#FLOAT VARIABLES:
#Variable	Sensor	Serial number	Comment
#Pressure[dbar]	Sbe41cp	5592	
#Temperature[°C]	Sbe41cp	5592	
#Salinity[pss]	Sbe41cp	5592	
#Sigma_theta[kg/m^3]			Potential density at the sea surface
#Depth[m]			Depth calculated from pressure and latitude
#Oxygen[µmol/kg]	Aanderaa 4330	1762	
#OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
#Nitrate[µmol/kg]	ISUS	Lamp#D3.C01.7738 Spec#069 APEX Ti Equitech probe20140527RR10.01 MBARI ARGO float#0202	
#Chl_a[mg/m^3]	FLBBAP2	3327	
#Chl_a_corr[mg/m^3]	FLBBAP2	3327	See: Boss, E.B. and N. Haëntjens, 2016. http:#soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
#b_bp700[1/m]	FLBBAP2	3327	
#b_bp_corr[1/m]			
#POC[mmol/m^3]	FLBBAP2	3327	See: Boss, E.B. and N. Haëntjens, 2016. http:#soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
#pHinsitu[Total]	Durafet	0067	
#pH25C[Total]	Durafet	0067	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
#TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https:#doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https:#github.com/BRCScienceProducts/LIRs.
#DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
#pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
#
#NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
#All carbonate system variables calculated with CO2SYS for Matlab
#(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
#used the following conditions: pH was reported on the total scale.
#K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
#10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
#from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
#constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
#The borate to salinity ratio was from Lee et al., 2010,
#doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
#measured by the float, but estimates based on Redfieldian ratios improved
#the carbonate system estimates. If a nitrate value was considered to
#be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
#otherwise the best estimate for both was considered to be 0. When pCO2
#was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
#following Williams et al., 2017, doi: https:#doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
#
#NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
#There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
#(Roesler et al, 2017, doi: 10.1002/lom3.10185).
#Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
#Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
#with uncorrected spikes (raw-filtered data) added back to the corrected profile.
#Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
#shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
#Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
#Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
#and an ODV-style quality flag of 4 ("questionable").
#South of 30S a slope correction of 6 was used(E. Boss unpublished data).
#This correction scheme was decided upon at the 18th Argo Data Management Team 
#meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
#correction methods for float data from FLBB sensors continues.
##
#QUALITY CONTROLLED DATA CORRECTIONS:
#Measurement	Station	Gain	Offset	Drift
#Oxygen	1	0.9952	0.0000	0.0000
#Nitrate	1	1.0000	3.2547	-181.4156
#Nitrate	3	1.0000	-2.6455	-8.0189
#Nitrate	15	1.0000	-5.2565	-1.8665
#Nitrate	58	1.0000	-7.6334	-0.9999
#Nitrate	127	1.0000	-9.5151	2.1773
#Nitrate	143	1.0000	-8.3793	0.0000
#pH	1	1.0000	-0.2555	1.3723
#pH	3	1.0000	-0.2100	-0.0787
#pH	38	1.0000	-0.2859	-0.0413
#pH	63	1.0000	-0.3103	-0.0169
#pH	79	1.0000	-0.3140	0.0000
#
#Missing data value = -1e10
#Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
#Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	1599.22	0	0.6645	0	34.6907	0	27.824	0	1578.957	0	203.41	0	59.3	0	33.09	0	0.0000	0	0.0000	0	0.000214	1	-1E+10	1	0.81	1	7.8816	0	7.5904	0	2357	0	2262	0	490.4	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	1498.92	0	0.7165	0	34.6922	0	27.821	0	1480.278	0	201.45	0	58.8	0	33.10	0	0.0000	0	0.0000	0	0.000203	1	-1E+10	1	0.78	1	7.8846	0	7.5901	0	2357	0	2263	0	492.6	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	1398.57	0	0.7980	0	34.6959	0	27.819	0	1381.504	0	199.81	0	58.5	0	32.97	0	0.0000	0	0.0000	0	0.000214	1	-1E+10	1	0.81	1	7.8897	0	7.5921	0	2357	0	2261	0	492.2	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	1299.41	0	0.8791	0	34.6987	0	27.816	0	1283.856	0	199.02	0	58.4	0	32.92	0	0.0036	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	7.8922	0	7.5918	0	2356	0	2261	0	495.1	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	1199.77	0	0.9692	0	34.7032	0	27.813	0	1185.689	0	197.34	0	58.0	0	32.64	0	0.0036	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	7.8951	0	7.5920	0	2356	0	2260	0	497.4	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	1098.96	0	1.0591	0	34.7057	0	27.809	0	1086.323	0	195.88	0	57.7	0	32.34	0	0.0036	0	0.0012	0	0.000258	1	-1E+10	1	0.92	1	7.8991	0	7.5931	0	2356	0	2260	0	498.7	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	997.79	0	1.1660	0	34.7069	0	27.802	0	986.554	0	193.97	0	57.3	0	32.28	0	0.0072	0	0.0024	0	0.000226	1	-1E+10	1	0.84	1	7.9022	0	7.5937	0	2354	0	2258	0	500.8	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	950.68	0	1.2298	0	34.7087	0	27.799	0	940.080	0	192.81	0	57.1	0	32.30	0	0.0000	0	0.0000	0	0.000215	1	-1E+10	1	0.81	1	7.8981	0	7.5892	0	2354	0	2260	0	508.8	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	901.05	0	1.2963	0	34.7095	0	27.795	0	891.109	0	191.57	0	56.8	0	32.08	0	0.0000	0	0.0000	0	0.000237	1	-1E+10	1	0.87	1	7.8991	0	7.5891	0	2354	0	2260	0	510.7	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	851.12	0	1.3643	0	34.7101	0	27.791	0	841.830	0	190.23	0	56.5	0	32.11	0	0.0072	0	0.0024	0	0.000237	1	-1E+10	1	0.87	1	7.8981	0	7.5874	0	2353	0	2259	0	515.0	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	800.65	0	1.4247	0	34.7099	0	27.786	0	792.007	0	188.32	0	56.0	0	32.34	0	0.0072	0	0.0024	0	0.000259	1	-1E+10	1	0.93	1	7.8978	0	7.5861	0	2352	0	2259	0	518.5	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	750.87	0	1.4885	0	34.7089	0	27.780	0	742.853	0	185.88	0	55.4	0	32.49	0	0.0036	0	0.0012	0	0.000433	1	-1E+10	1	1.38	1	7.8938	0	7.5816	0	2352	0	2261	0	526.9	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	701.49	0	1.5330	0	34.7050	0	27.774	0	694.082	0	184.53	0	55.0	0	32.55	0	0.0036	0	0.0012	0	0.000281	1	-1E+10	1	0.98	1	7.8914	0	7.5782	0	2351	0	2261	0	533.2	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	650.95	0	1.5702	0	34.7012	0	27.768	0	644.154	0	182.11	0	54.4	0	32.60	0	0.0000	0	0.0000	0	0.000259	1	-1E+10	1	0.93	1	7.8869	0	7.5728	0	2351	0	2263	0	542.4	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	600.60	0	1.6121	0	34.6949	0	27.760	0	594.401	0	180.28	0	53.9	0	33.01	0	0.0036	0	0.0012	0	0.000823	1	-1E+10	1	2.39	1	7.8838	0	7.5687	0	2350	0	2264	0	549.8	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	551.22	0	1.6512	0	34.6866	0	27.750	0	545.596	0	177.39	0	53.1	0	32.99	0	0.0000	0	0.0000	0	0.000411	1	-1E+10	1	1.32	1	7.8786	0	7.5628	0	2349	0	2265	0	560.0	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	500.46	0	1.6844	0	34.6751	0	27.738	0	495.414	0	175.67	0	52.6	0	33.49	0	0.0036	0	0.0012	0	0.000292	1	-1E+10	1	1.01	1	7.8749	0	7.5581	0	2347	0	2265	0	568.3	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	451.09	0	1.7078	0	34.6558	0	27.720	0	446.595	0	173.79	0	52.0	0	33.89	0	0.0000	0	0.0000	0	0.000802	1	-1E+10	1	2.34	1	7.8642	0	7.5469	0	2345	0	2267	0	586.6	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	400.76	0	1.7089	0	34.6402	0	27.708	0	396.815	0	171.28	0	51.3	0	34.29	0	0.0072	0	0.0024	0	0.000368	1	-1E+10	1	1.21	1	7.8563	0	7.5380	0	2344	0	2269	0	601.7	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	381.42	0	1.7052	0	34.6338	0	27.703	0	377.683	0	171.09	0	51.2	0	34.42	0	0.0036	0	0.0012	0	0.000303	1	-1E+10	1	1.04	1	7.8555	0	7.5366	0	2344	0	2269	0	603.9	0
5904469	1	C	12/11/2014	12:17	0.015	-53.513	0	361.62	0	1.7064	0	34.6289	0	27.699	0	358.094	0	170.62	0	51.1	0	34.42	0	0.0072	0	0.0024	0	0.000303	1	-1E+10	1	1.04	1	7.8534	0	7.5340	0	2343	0	2269	0	608.2	0
